NodeId;EmissionTypeId;VariableId;Value;Percentage;Year;Period
A3;SEWERS;N;0.16683891;0;2010;3
A3;SEWERS;P;0.00539798;0;2010;4
A3;SEWERS;P;0.00539798;0;2010;3
A3;STONE;N;1.21745559;0;2010;4
A3;STONE;N;1.21745559;0;2010;3
A3;STONE;P;0.17984974;0;2010;4
A3;STONE;P;0.17984974;0;2010;3
A4;AGRIC;N;0.07968001;0;2010;4
A4;AGRIC;N;0.07968001;0;2010;3
A4;AGRIC;P;0.00641387;0;2010;4
A4;AGRIC;P;0.00641387;0;2010;3
A4;ATM;Q;0.01671794;0;2010;3
A4;ATM;Q;0.01846828;0;2010;4
A4;CONSTR;N;0.09100407;0;2010;4
A4;CONSTR;N;0.09100407;0;2010;3
A4;CONSTR;P;0.01317792;0;2010;4
A4;CONSTR;P;0.01317792;0;2010;3
A4;DRAIN;Q;0.56893021;0;2010;3
A4;DRAIN;Q;0.99022017;0;2010;4
A4;DRAIN0;Q;0.00000057;0;2010;3
A4;EVAP;Q;-0.02328587;0;2010;3
A4;EVAP;Q;-0.00491747;0;2010;4
A4;INFIL;Q;-0.00383495;0;2010;3
A4;INFIL;Q;-0.00383263;0;2010;4
A4;REMAIN;N;0.02925304;0;2010;4
A4;REMAIN;N;0.02925304;0;2010;3
A4;SEEP;Q;0.01283912;0;2010;4
A4;SEEP;Q;0.03714814;0;2010;3
A4;SEWERS;BOD;0.42015415;0;2010;4
A4;SEWERS;BOD;0.42015415;0;2010;3
A4;SEWERS;N;0.03112252;0;2010;4
A4;SEWERS;N;0.03112252;0;2010;3
A4;SEWERS;P;0.00316674;0;2010;4
A4;SEWERS;P;0.00316674;0;2010;3
A4;STONE;N;2.18609008;0;2010;4
A4;STONE;N;2.18609008;0;2010;3
A4;STONE;P;0.19914475;0;2010;4
A4;STONE;P;0.19914475;0;2010;3
A5;AGRIC;N;0.04716466;0;2010;4
A5;AGRIC;N;0.04716466;0;2010;3
A5;AGRIC;P;0.00332134;0;2010;4
A5;AGRIC;P;0.00332134;0;2010;3
A5;ATM;Q;0.04473564;0;2010;3
A5;ATM;Q;0.04945254;0;2010;4
A5;CONSTR;N;0.01000991;0;2010;4
A5;CONSTR;N;0.01000991;0;2010;3
A5;CONSTR;P;0.00145263;0;2010;4
A5;CONSTR;P;0.00145263;0;2010;3
A5;DRAIN;Q;0.04406215;0;2010;3
A5;DRAIN;Q;0.21785938;0;2010;4
A5;DRAIN0;Q;0.00000023;0;2010;3
A5;EVAP;Q;-0.06550868;0;2010;3
A5;EVAP;Q;-0.01616041;0;2010;4
A5;INFIL;Q;-0.15547963;0;2010;3
A5;INFIL;Q;-0.02427973;0;2010;4
A5;REMAIN;N;0.23269476;0;2010;4
