gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000005256,1997-09-19,GMW000000011642,B21B0263,5,-148.52,-150.52,-0.52,150.0,0.11,LT,2.48,,0.006,LT,3.1,810
GAR000000059601,1972-01-18,GMW000000022964,B49B0208,4,-148.12,-150.12,7.58,157.7,,,,,,,,86
GAR000000051473,2022-03-25,GMW000000004910,B48H0291,1,-93.17,-149.27,0.73,150.0,0.05,LT,0.96,,0.01,LT,2.12,1023.44
GAR000000059146,1996-01-15,GMW000000004910,B48H0291,1,-93.17,-149.27,0.73,150.0,0.16,,1.16,,0.02,,,980
GAR000000004408,1973-05-09,GMW000000037731,B26D0009,3,-147.98,-148.98,-3.86,145.12,0.04,,2.8,,0.006,,,14
GAR000000004409,1991-07-31,GMW000000037731,B26D0009,3,-147.98,-148.98,-3.86,145.12,0.0045,LT,0.15,,0.006,LT,1,14
GAR000000004410,1998-11-11,GMW000000037731,B26D0009,3,-147.98,-148.98,-3.86,145.12,0.18,,0.15,,0.006,LT,0.7,10
GAR000000004677,1998-11-19,GMW000000037733,B25F0103,5,-146.92,-148.92,1.92,150.84,0.11,LT,1.32,,0.006,LT,0.7,2000
GAR000000005372,1991-08-13,GMW000000037733,B25F0103,5,-146.92,-148.92,1.92,150.84,0.2,,0.31,,0.006,LT,0.9,1812
GAR000000005373,1994-11-25,GMW000000037733,B25F0103,5,-146.92,-148.92,1.92,150.84,0.01,LT,1.16,,0.01,LT,1.5,2110
GAR000000005403,1965-12-28,GMW000000037683,B26A0018,5,-147.4,-148.4,1.62,150.02,,,1.01,,0.006,LT,,434
GAR000000005404,1991-08-14,GMW000000037683,B26A0018,5,-147.4,-148.4,1.62,150.02,0.0045,LT,0.77,,0.006,LT,1.4,418
GAR000000005405,1994-11-25,GMW000000037683,B26A0018,5,-147.4,-148.4,1.62,150.02,0.01,LT,0.93,,0.01,LT,1.7,480
GAR000000005406,1998-11-17,GMW000000037683,B26A0018,5,-147.4,-148.4,1.62,150.02,0.01,LT,1.01,,0.006,LT,0.9,400
GAR000000004418,1991-08-06,GMW000000037652,B26D0021,6,-147.31,-148.31,-3.42,144.89,0.0045,LT,0.38,,0.006,LT,0.9,13
GAR000000004419,1998-10-29,GMW000000037652,B26D0021,6,-147.31,-148.31,-3.42,144.89,0.2,,0.49,,0.006,LT,,13
GAR000000051494,2022-03-23,GMW000000057256,B48G0204,1,-89.78,-147.78,1.14,148.92,0.05,LT,0.54,,0.01,LT,3.04,490.41
GAR000000058684,2006-01-01,GMW000000057256,B48G0204,1,-89.78,-147.78,1.14,148.92,1.77,,0.18,,0.03,LT,,460
GAR000000058835,2011-07-20,GMW000000057256,B48G0204,1,-89.78,-147.78,1.14,148.92,,,,,,,,490
GAR000000059153,2016-03-14,GMW000000057256,B48G0204,1,-89.78,-147.78,1.14,148.92,0.35,,0.13,,0.03,,,2.3
GAR000000059186,2007-12-18,GMW000000057256,B48G0204,1,-89.78,-147.78,1.14,148.92,0.22,,0.4,,0.03,LT,,520
GAR000000059381,1995-11-20,GMW000000057256,B48G0204,1,-89.78,-147.78,1.14,148.92,0.25,,0.96,,0.03,,,689
GAR000000059495,2017-11-21,GMW000000057256,B48G0204,1,-89.78,-147.78,1.14,148.92,0.05,,0.46,,0.01,,8.8,470
GAR000000004119,1951-08-01,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,,,,,,,,1205
GAR000000004120,1951-02-20,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,,,1.16,,0.006,LT,,1050
GAR000000004121,1963-04-19,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,,,1.16,,0.006,LT,,1150
GAR000000004122,1965-12-27,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,,,0.93,,0.006,LT,,1090
GAR000000004123,1965-11-09,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,,,1.01,,,,,1120
GAR000000004124,1980-09-11,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,0.02,LT,0.48,,0.006,LT,,520
GAR000000004125,1990-11-15,GMW000000037630,B26F0001,2,-145.08,-146.08,-3.02,143.06,0.0045,LT,0.14,,0.006,LT,0.6,20
