gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000061805,1998-08-14,GMW000000004898,B42H0185,3,-64.62,-65.62,-0.62,65.0,,,,,,,,10839
GAR000000005450,1994-11-29,GMW000000011636,B26A0244,3,-64.49,-65.49,-4.63,60.86,0.01,LT,4.82,,0.01,LT,6.9,5610
GAR000000005451,1998-11-28,GMW000000011636,B26A0244,3,-64.49,-65.49,-4.63,60.86,0.11,LT,7.15,,0.006,LT,6.4,6100
GAR000000051944,1983-08-23,GMW000000022801,B49E0075,3,-63.9,-64.9,3.52,68.42,,,,,,,,
GAR000000051987,1982-11-23,GMW000000022801,B49E0075,3,-63.9,-64.9,3.52,68.42,,,,,,,,
GAR000000052295,1982-11-23,GMW000000022801,B49E0075,3,-63.9,-64.9,3.52,68.42,,,,,,,,
GAR000000052500,1985-09-20,GMW000000022801,B49E0075,3,-63.9,-64.9,3.52,68.42,,,,,,,,
GAR000000062569,1967-04-03,GMW000000042137,B49D0050,6,-63.5,-64.5,1.15,65.65,,,,,,,,20
GAR000000012560,1992-08-27,GMW000000034124,B32A0458,5,-62.95,-63.95,4.12,68.07,0.05,LT,0.03,,,,,10
GAR000000012561,2009-07-08,GMW000000034124,B32A0458,5,-62.95,-63.95,4.12,68.07,0.05,LT,0.14,,,,,12
GAR000000012562,2018-10-26,GMW000000034124,B32A0458,5,-62.95,-63.95,4.12,68.07,0.05,LT,0.18,,0.01,LT,5,11
GAR000000012945,1994-02-10,GMW000000034124,B32A0458,5,-62.95,-63.95,4.12,68.07,,,,,,,,
GAR000000050586,2021-11-15,GMW000000083505,B06C0054,4,-62.7,-63.7,0.68,64.38,0.05,LT,0.74,,0.01,LT,3.68,647.74
GAR000000064662,2024-11-12,GMW000000083505,B06C0054,4,-62.7,-63.7,0.68,64.38,,,,,,,,
GAR000000005148,1937-02-17,GMW000000037720,B21A0038,3,-62.0,-63.0,0.84,63.84,,,,,,,,738
GAR000000005149,2003-01-28,GMW000000037720,B21A0038,3,-62.0,-63.0,0.84,63.84,0.11,LT,13.22,,0.006,LT,12,1100
GAR000000065506,2024-08-22,GMW000000051785,B07E0031,2,-61.96,-62.96,0.15,63.11,0.05,LT,1.5,,0.01,LT,8.92,180.1
GAR000000065537,2024-07-11,GMW000000051828,B07E0042,2,-60.37,-62.87,0.232,63.1,0.07,,8.33,,0.01,LT,7.9,7607.61
GAR000000061993,1998-08-04,GMW000000050903,B49C0038,5,-61.5,-62.5,-0.3,62.2,,,,,,,,2726
GAR000000062023,1994-05-19,GMW000000050903,B49C0038,5,-61.5,-62.5,-0.3,62.2,,,,,,,,2696
GAR000000062167,1996-06-13,GMW000000050903,B49C0038,5,-61.5,-62.5,-0.3,62.2,,,,,,,,2831
GAR000000062209,1991-11-22,GMW000000050903,B49C0038,5,-61.5,-62.5,-0.3,62.2,,,,,,,,3106
GAR000000062531,2007-01-16,GMW000000050903,B49C0038,5,-61.5,-62.5,-0.3,62.2,,,,,,,,2907
GAR000000062626,1993-07-09,GMW000000050903,B49C0038,5,-61.5,-62.5,-0.3,62.2,,,,,,,,2640
GAR000000062628,1992-09-25,GMW000000050903,B49C0038,5,-61.5,-62.5,-0.3,62.2,,,,,,,,2744
GAR000000060732,1993-01-01,GMW000000057347,B42B0053,7,-60.89,-61.89,5.16,67.05,,,,,,,,35
GAR000000060786,1992-01-07,GMW000000057347,B42B0053,7,-60.89,-61.89,5.16,67.05,,,,,,,,64
GAR000000060796,1990-10-08,GMW000000057347,B42B0053,7,-60.89,-61.89,5.16,67.05,,,,,,,,35
GAR000000061047,1989-10-09,GMW000000057347,B42B0053,7,-60.89,-61.89,5.16,67.05,,,,,,,,35
GAR000000061054,1995-08-18,GMW000000057347,B42B0053,7,-60.89,-61.89,5.16,67.05,,,,,,,,64
GAR000000061108,1993-06-19,GMW000000057347,B42B0053,7,-60.89,-61.89,5.16,67.05,,,,,,,,33
GAR000000050513,2021-11-23,GMW000000083471,B04F0055,8,-59.32,-61.32,4.29,65.61,0.05,LT,1.86,,0.01,LT,4.84,9067.12
GAR000000064658,2024-10-28,GMW000000083471,B04F0055,8,-59.32,-61.32,4.29,65.61,0.05,LT,0.43,,0.01,LT,5.19,46.3
GAR000000062704,1967-10-24,GMW000000043321,B49D0049,2,-60.1,-61.1,1.6,62.7,,,,,,,,
GAR000000061686,1913-02-01,GMW000000044211,B42B0003,3,-60.0,-61.0,6.5,67.5,,,,,,,,
GAR000000004394,1996-11-28,GMW000000011627,B26C0404,3,-59.75,-60.75,-3.47,57.28,0.11,LT,0.21,,0.003,LT,2.9,15
GAR000000062911,1972-01-07,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18170
GAR000000062935,1972-07-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18170
GAR000000062975,1981-10-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18295
GAR000000062977,1992-07-14,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,19972
GAR000000063015,1993-06-24,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,16058
GAR000000063102,1978-11-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18073
GAR000000063122,1974-06-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18146
GAR000000063222,1979-06-14,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,17844
GAR000000063265,1994-05-16,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18324
GAR000000063320,1987-01-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,16645
GAR000000063355,1976-10-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,17354
GAR000000063358,1973-03-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18337
GAR000000063384,1979-10-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,17844
GAR000000063414,1983-01-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18251
GAR000000063549,1980-10-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18295
GAR000000063565,1986-01-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18014
GAR000000063653,1984-01-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18195
GAR000000063710,1975-09-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,17618
GAR000000063734,1982-10-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,17647
GAR000000063747,1977-10-01,GMW000000050764,B48E0135,8,-59.6,-60.6,1.31,61.91,,,,,,,,18219
GAR000000061632,1995-10-17,GMW000000067192,B42D0043,3,-59.41,-60.41,4.55,64.96,,,,,,,,84
GAR000000061646,1990-11-05,GMW000000067192,B42D0043,3,-59.41,-60.41,4.55,64.96,,,,,,,,60
GAR000000061661,1993-06-21,GMW000000067192,B42D0043,3,-59.41,-60.41,4.55,64.96,,,,,,,,127
GAR000000061684,1997-10-07,GMW000000067192,B42D0043,3,-59.41,-60.41,4.55,64.96,,,,,,,,240
GAR000000061692,1992-01-07,GMW000000067192,B42D0043,3,-59.41,-60.41,4.55,64.96,,,,,,,,117
GAR000000061695,1991-05-13,GMW000000067192,B42D0043,3,-59.41,-60.41,4.55,64.96,,,,,,,,92
GAR000000004386,1994-11-28,GMW000000011624,B26C0402,3,-59.23,-60.23,-3.23,57.0,0.09,,1.08,,0.01,LT,4.5,97
GAR000000004387,1998-11-12,GMW000000011624,B26C0402,3,-59.23,-60.23,-3.23,57.0,0.11,LT,1.16,,0.006,LT,3.2,98
GAR000000009597,1976-01-01,GMW000000051330,B31B0045,3,-59.2,-60.2,-4.75,55.45,,,,,,,,56
GAR000000052049,1984-09-06,GMW000000022754,B49E0087,2,-58.04,-60.04,5.43,65.47,,,,,,,,
GAR000000052091,1985-09-23,GMW000000022754,B49E0087,2,-58.04,-60.04,5.43,65.47,,,,,,,,
GAR000000058927,1993-01-01,GMW000000050812,B49A0022,5,-58.0,-59.0,-0.95,58.05,,,,,,,,15895
GAR000000059204,1993-07-12,GMW000000050812,B49A0022,5,-58.0,-59.0,-0.95,58.05,,,,,,,,15545
GAR000000059402,1998-08-17,GMW000000050812,B49A0022,5,-58.0,-59.0,-0.95,58.05,,,,,,,,15750
GAR000000059518,1994-05-10,GMW000000050812,B49A0022,5,-58.0,-59.0,-0.95,58.05,,,,,,,,15202
GAR000000059521,1996-05-31,GMW000000050812,B49A0022,5,-58.0,-59.0,-0.95,58.05,,,,,,,,14834
GAR000000061620,1965-07-07,GMW000000018069,B43D0017,5,-57.84,-58.84,1.31,60.15,,,9.7,,0.01,LT,,8420
GAR000000050575,2021-11-11,GMW000000041706,B11B0023,2,-57.42,-58.42,-0.33,58.09,0.05,,0.49,,0.01,LT,4.48,34.68
GAR000000064718,2024-11-05,GMW000000041706,B11B0023,2,-57.42,-58.42,-0.33,58.09,0.1,,0.54,,0.01,LT,4.54,34.73
GAR000000004819,1994-11-14,GMW000000037681,B15H0055,2,-57.22,-58.22,-4.17,54.05,0.01,LT,4.2,,0.01,LT,8.8,950
GAR000000004820,1996-10-30,GMW000000037681,B15H0055,2,-57.22,-58.22,-4.17,54.05,0.11,LT,2.48,,0.006,,6.6,900
GAR000000004821,2000-01-01,GMW000000037681,B15H0055,2,-57.22,-58.22,-4.17,54.05,,,,,,,,
GAR000000004822,2015-10-23,GMW000000037681,B15H0055,2,-57.22,-58.22,-4.17,54.05,0.05,LT,4.6,,0.01,,8.1,990
GAR000000004823,2018-11-06,GMW000000037681,B15H0055,2,-57.22,-58.22,-4.17,54.05,0.05,LT,4.4,,0.01,LT,17,770
GAR000000065337,2024-10-16,GMW000000037681,B15H0055,2,-57.22,-58.22,-4.17,54.05,0.05,LT,4.63,,0.01,LT,601.58,998.52
GAR000000004060,1991-08-05,GMW000000037612,B26E0035,2,-57.01,-58.01,-3.3,54.71,0.0045,LT,0.23,,0.006,LT,0.8,6
GAR000000004061,1998-11-09,GMW000000037612,B26E0035,2,-57.01,-58.01,-3.3,54.71,0.11,LT,0.34,,0.006,LT,0.7,16
GAR000000063259,1995-08-15,GMW000000050739,B48E0140,6,-56.9,-57.9,0.9,58.8,,,,,,,,15723
GAR000000063288,1993-06-23,GMW000000050739,B48E0140,6,-56.9,-57.9,0.9,58.8,,,,,,,,16806
GAR000000063422,1993-01-01,GMW000000050739,B48E0140,6,-56.9,-57.9,0.9,58.8,,,,,,,,16142
GAR000000063521,1997-06-30,GMW000000050739,B48E0140,6,-56.9,-57.9,0.9,58.8,,,,,,,,16433
GAR000000063705,1991-05-13,GMW000000050739,B48E0140,6,-56.9,-57.9,0.9,58.8,,,,,,,,16023
GAR000000063769,1990-09-28,GMW000000050739,B48E0140,6,-56.9,-57.9,0.9,58.8,,,,,,,,16150
GAR000000005416,1981-11-05,GMW000000037697,B26A0074,4,-56.3,-57.3,-4.11,53.19,0.02,LT,63.01,,0.006,LT,,6020
GAR000000005417,1994-11-17,GMW000000037697,B26A0074,4,-56.3,-57.3,-4.11,53.19,0.01,LT,66.13,,0.01,LT,17,6290
GAR000000005418,1998-11-25,GMW000000037697,B26A0074,4,-56.3,-57.3,-4.11,53.19,0.11,LT,77.8,,0.006,LT,8.3,6000
GAR000000014501,1989-09-05,GMW000000034204,B09B0046,5,-56.21,-57.21,2.98,60.19,0.009032258,,18.58,,,,1,16020
GAR000000004760,1976-01-16,GMW000000011639,B15H0026,2,-55.68,-56.68,-4.32,52.36,,,1.01,,,,7.1,
GAR000000004761,1983-11-09,GMW000000011639,B15H0026,2,-55.68,-56.68,-4.32,52.36,,,3.03,,,,,
GAR000000053700,1990-09-28,GMW000000057274,B48B0119,6,-55.6,-56.6,1.59,58.19,,,,,,,,15535
GAR000000053836,1995-08-16,GMW000000057274,B48B0119,6,-55.6,-56.6,1.59,58.19,,,,,,,,14220
GAR000000053953,1993-06-23,GMW000000057274,B48B0119,6,-55.6,-56.6,1.59,58.19,,,,,,,,15417
GAR000000054090,1997-07-07,GMW000000057274,B48B0119,6,-55.6,-56.6,1.59,58.19,,,,,,,,15996
GAR000000004957,1983-11-10,GMW000000037747,B20F0054,2,-55.42,-56.42,-4.47,51.95,0.09,,15.56,,0.006,,,2175
GAR000000004958,1990-11-01,GMW000000037747,B20F0054,2,-55.42,-56.42,-4.47,51.95,0.0045,LT,11.67,,0.006,LT,5.5,2338
GAR000000004959,1996-11-26,GMW000000037747,B20F0054,2,-55.42,-56.42,-4.47,51.95,0.11,LT,17.11,,0.003,LT,7.4,2700
GAR000000059685,1990-08-20,GMW000000051055,B42H0039,4,-55.0,-56.0,-0.54,55.46,,,,,,,,20035
GAR000000059979,1995-08-21,GMW000000051055,B42H0039,4,-55.0,-56.0,-0.54,55.46,,,,,,,,17052
GAR000000060135,1993-01-01,GMW000000051055,B42H0039,4,-55.0,-56.0,-0.54,55.46,,,,,,,,17729
GAR000000060228,1993-06-09,GMW000000051055,B42H0039,4,-55.0,-56.0,-0.54,55.46,,,,,,,,16495
GAR000000060237,1991-12-11,GMW000000051055,B42H0039,4,-55.0,-56.0,-0.54,55.46,,,,,,,,21453
GAR000000060582,1997-06-05,GMW000000051055,B42H0039,4,-55.0,-56.0,-0.54,55.46,,,,,,,,16500
GAR000000059528,2011-07-20,GMW000000057206,B48H0124,6,-54.9,-55.9,0.63,56.53,,,,,,,,360
GAR000000059533,1992-09-07,GMW000000057206,B48H0124,6,-54.9,-55.9,0.63,56.53,,,,,,,,17473
GAR000000059556,1998-07-24,GMW000000057206,B48H0124,6,-54.9,-55.9,0.63,56.53,,,,,,,,14266
GAR000000014487,1985-02-05,GMW000000015243,B09B0041,3,-53.88,-55.88,2.12,58.0,0.6,,7.61,,0.03,LT,,16000
GAR000000014488,1989-01-24,GMW000000015243,B09B0041,3,-53.88,-55.88,2.12,58.0,0.009032258,,9.16,,,,1.6,16100
GAR000000011811,1999-09-21,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,,,,,,,,
GAR000000011812,1994-06-07,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.04,LT,4.4,,,,,19
GAR000000011813,1999-09-28,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.02,LT,4.3,,,,10,18
GAR000000011814,2004-12-20,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.01,LT,3.9,,,,9.1,18
GAR000000011815,2006-04-25,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.06,,5,LT,,,9.2,18
GAR000000011816,2007-10-16,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.02,LT,7.9,,,,9,19
GAR000000011817,2008-09-30,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.02,LT,3.5,,,,6.9,18
GAR000000011818,2010-03-10,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.01,LT,3.91,,,,,19.7
GAR000000011819,2011-10-11,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.01,LT,3.77,,,,,19.13
GAR000000011820,2012-10-25,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.01,LT,3.62,,,,,19.61
GAR000000011821,2013-10-30,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.08,,3.47,,,,,18.8
GAR000000011822,2014-10-14,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.05,LT,3.49,,,,,18.2
GAR000000011823,2015-10-21,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.04,LT,3.6,,0.03,LT,5,19
GAR000000011824,2016-11-03,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.04,LT,3.6,,0.03,,5,17
GAR000000011825,2019-03-01,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.01,LT,3.8,,0.01,LT,8.2,18
GAR000000050545,2021-12-07,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.15,,3.84,,0.01,LT,6.8,19.15
GAR000000064749,2024-10-25,GMW000000041808,B15E0081,2,-54.65,-55.65,-1.06,54.59,0.2,,3.92,,0.01,LT,6.72,19.16
GAR000000005045,1990-10-23,GMW000000037723,B20G0042,3,-54.6,-55.6,-4.52,51.08,0.0045,LT,1.55,,0.006,LT,1.5,1632
GAR000000005046,1997-09-22,GMW000000037723,B20G0042,3,-54.6,-55.6,-4.52,51.08,0.11,LT,1.86,,0.006,LT,2.8,1800
GAR000000005047,2003-01-16,GMW000000037723,B20G0042,3,-54.6,-55.6,-4.52,51.08,0.11,LT,2.02,,0.006,LT,2.9,1700
GAR000000004299,1981-11-05,GMW000000037658,B26B0063,3,-54.36,-55.36,-3.82,51.54,0.02,LT,0.03,LT,0.006,LT,,660
GAR000000004300,1994-11-29,GMW000000037658,B26B0063,3,-54.36,-55.36,-3.82,51.54,0.01,LT,1.4,,0.01,LT,2.2,1020
GAR000000004943,1983-11-10,GMW000000037613,B20F0052,3,-54.36,-55.36,-4.12,51.24,0.4,,10.11,,0.006,,,1800
GAR000000004944,1990-11-01,GMW000000037613,B20F0052,3,-54.36,-55.36,-4.12,51.24,0.0045,LT,7.7,,0.006,LT,7.5,1760
GAR000000004945,1996-10-30,GMW000000037613,B20F0052,3,-54.36,-55.36,-4.12,51.24,0.11,LT,10.11,,0.006,,8.2,1800
GAR000000005422,1981-11-05,GMW000000037657,B26A0075,2,-54.36,-55.36,-4.52,50.84,0.02,LT,1.94,,0.006,LT,,6100
GAR000000005423,1991-08-06,GMW000000037657,B26A0075,2,-54.36,-55.36,-4.52,50.84,0.0045,LT,4.59,,0.006,LT,7.7,5600
GAR000000005424,1994-11-29,GMW000000037657,B26A0075,2,-54.36,-55.36,-4.52,50.84,0.01,LT,4.74,,0.01,LT,8.2,5720
GAR000000004699,1983-11-08,GMW000000037699,B15H0025,2,-54.25,-55.25,-3.76,51.49,0.11,,3.73,,0.01,,,800
GAR000000004753,1990-10-25,GMW000000037699,B15H0025,2,-54.25,-55.25,-3.76,51.49,0.0045,LT,3.18,,0.006,LT,3.3,912
GAR000000004754,1996-10-28,GMW000000037699,B15H0025,2,-54.25,-55.25,-3.76,51.49,0.11,LT,4.74,,0.006,,2.9,1000
GAR000000004755,2006-06-07,GMW000000037699,B15H0025,2,-54.25,-55.25,-3.76,51.49,0.01,LT,3.96,,0.003,LT,,1200
GAR000000004756,2015-10-23,GMW000000037699,B15H0025,2,-54.25,-55.25,-3.76,51.49,0.05,LT,5.4,,0.01,,5,1500
GAR000000004757,2018-11-06,GMW000000037699,B15H0025,2,-54.25,-55.25,-3.76,51.49,0.05,LT,5.2,,0.01,LT,7,1400
GAR000000065331,2024-10-16,GMW000000037699,B15H0025,2,-54.25,-55.25,-3.76,51.49,0.48,,5.38,,0.01,LT,371.18,1386.18
GAR000000005049,1985-09-11,GMW000000011629,B20G0043,2,-54.21,-55.21,-4.17,51.04,0.02,LT,1.01,,0.006,LT,,1780
GAR000000004950,1990-11-01,GMW000000037680,B20F0053,2,-54.11,-55.11,-2.79,52.32,0.0045,LT,8.55,,0.006,LT,4.9,1520
GAR000000004951,1996-10-30,GMW000000037680,B20F0053,2,-54.11,-55.11,-2.79,52.32,0.11,LT,10.89,,0.003,,4.6,1500
GAR000000005121,1977-03-07,GMW000000037635,B20H0029,2,-54.09,-55.09,-4.09,51.0,0.04,,7.54,,0.51,,,1393
GAR000000005122,1990-10-23,GMW000000037635,B20H0029,2,-54.09,-55.09,-4.09,51.0,0.0045,LT,5.29,,0.006,LT,10.1,1310
GAR000000005123,1996-12-10,GMW000000037635,B20H0029,2,-54.09,-55.09,-4.09,51.0,0.11,LT,6.22,,0.006,,11,1400
GAR000000010268,1976-10-19,GMW000000048935,B30E0119,5,-54.03,-55.03,1.144,56.17,,,,,,,,15468
GAR000000004070,1977-01-31,GMW000000037659,B26E0036,3,-53.95,-54.95,-3.61,51.34,0.13,,0.66,,0.28,,,1719
GAR000000004071,1986-10-31,GMW000000037659,B26E0036,3,-53.95,-54.95,-3.61,51.34,0.22,LT,1.01,,0.006,LT,,1350
GAR000000004072,1990-11-15,GMW000000037659,B26E0036,3,-53.95,-54.95,-3.61,51.34,0.0045,LT,0.77,,0.006,LT,2.4,1575
GAR000000004073,1997-10-02,GMW000000037659,B26E0036,3,-53.95,-54.95,-3.61,51.34,0.11,LT,0.66,,0.006,LT,2.9,1600
GAR000000004074,2003-01-21,GMW000000037659,B26E0036,3,-53.95,-54.95,-3.61,51.34,0.11,LT,0.66,,0.006,LT,3.4,1500
GAR000000005111,1990-10-23,GMW000000037637,B20H0028,2,-53.9,-54.9,-4.02,50.88,0.0045,LT,2.64,,0.006,LT,5.8,1465
GAR000000005112,1996-12-10,GMW000000037637,B20H0028,2,-53.9,-54.9,-4.02,50.88,0.11,LT,3.18,,0.003,,7.9,1600
GAR000000004700,1983-11-09,GMW000000037704,B15H0024,3,-53.85,-54.85,-3.61,51.24,0.04,,2.56,,0.006,LT,,580
GAR000000004743,1996-10-28,GMW000000037704,B15H0024,3,-53.85,-54.85,-3.61,51.24,0.11,LT,3.42,,0.003,,2.7,1000
GAR000000004744,2002-12-06,GMW000000037704,B15H0024,3,-53.85,-54.85,-3.61,51.24,0.11,LT,3.65,,0.006,LT,4.7,950
GAR000000004765,1977-06-06,GMW000000011638,B15H0028,3,-53.76,-54.76,-3.51,51.25,,,4.35,,,,,
GAR000000004766,1983-11-09,GMW000000011638,B15H0028,3,-53.76,-54.76,-3.51,51.25,,,5.29,,,,,
GAR000000004346,1984-11-16,GMW000000037741,B26C0108,3,-53.66,-54.66,-2.92,51.74,0.02,LT,3.73,,0.006,LT,,3080
GAR000000004282,1991-08-05,GMW000000037664,B26B0058,3,-53.65,-54.65,-3.45,51.2,0.0045,LT,0.31,,0.006,LT,0.9,4
GAR000000004283,1998-11-09,GMW000000037664,B26B0058,3,-53.65,-54.65,-3.45,51.2,0.11,LT,0.39,,0.006,LT,0.8,10
GAR000000004340,1998-11-11,GMW000000037604,B26C0107,3,-53.63,-54.63,-3.86,50.77,0.11,LT,0.57,,0.006,LT,1.2,28
GAR000000004341,2006-06-08,GMW000000037604,B26C0107,3,-53.63,-54.63,-3.86,50.77,0.01,LT,0.39,,0.003,LT,,23
GAR000000004342,2018-12-18,GMW000000037604,B26C0107,3,-53.63,-54.63,-3.86,50.77,0.05,LT,0.51,,0.01,LT,7.4,25
GAR000000065365,2024-09-19,GMW000000037604,B26C0107,3,-53.63,-54.63,-3.86,50.77,0.05,LT,0.51,,0.01,LT,227.59,28.01
GAR000000004057,1998-11-09,GMW000000037734,B26E0034,3,-53.6,-54.6,-3.44,51.16,0.11,LT,1.78,,0.006,LT,4.8,810
GAR000000059689,1997-06-01,GMW000000057188,B42G0042,6,-53.6,-54.6,1.15,55.75,,,,,,,,12610
GAR000000059751,1995-08-14,GMW000000057188,B42G0042,6,-53.6,-54.6,1.15,55.75,,,,,,,,12486
GAR000000059883,1993-06-16,GMW000000057188,B42G0042,6,-53.6,-54.6,1.15,55.75,,,,,,,,15678
GAR000000059997,1990-09-28,GMW000000057188,B42G0042,6,-53.6,-54.6,1.15,55.75,,,,,,,,12960
GAR000000060107,1993-01-01,GMW000000057188,B42G0042,6,-53.6,-54.6,1.15,55.75,,,,,,,,9471
GAR000000060614,1991-05-13,GMW000000057188,B42G0042,6,-53.6,-54.6,1.15,55.75,,,,,,,,14468
GAR000000004624,1972-09-26,GMW000000037608,B26E0020,3,-53.59,-54.59,-3.86,50.73,0.0045,LT,4.97,,,,,2160
GAR000000004625,1990-11-19,GMW000000037608,B26E0020,3,-53.59,-54.59,-3.86,50.73,0.0045,LT,4.04,,0.006,LT,5.4,1981
GAR000000004626,1994-11-18,GMW000000037608,B26E0020,3,-53.59,-54.59,-3.86,50.73,0.01,LT,4.12,,0.01,LT,7.3,2100
GAR000000004627,1997-09-22,GMW000000037608,B26E0020,3,-53.59,-54.59,-3.86,50.73,0.11,LT,5.05,,0.006,LT,6.8,2100
GAR000000004628,2003-01-23,GMW000000037608,B26E0020,3,-53.59,-54.59,-3.86,50.73,0.11,LT,5.29,,0.006,LT,7.1,2100
GAR000000004356,1998-11-17,GMW000000037724,B26C0110,2,-53.54,-54.54,-3.71,50.83,0.11,LT,0.17,,0.006,LT,2.1,18
GAR000000004696,1996-10-29,GMW000000037726,B16C0021,3,-53.52,-54.52,-3.44,51.08,0.11,LT,1.78,,0.01,,8.9,120
GAR000000004876,1990-10-24,GMW000000037726,B16C0021,3,-53.52,-54.52,-3.44,51.08,0.0045,LT,2.95,,0.006,LT,8.5,115
GAR000000004877,2003-01-22,GMW000000037726,B16C0021,3,-53.52,-54.52,-3.44,51.08,0.11,LT,4.12,,0.006,LT,7.8,140
GAR000000004878,2006-06-07,GMW000000037726,B16C0021,3,-53.52,-54.52,-3.44,51.08,0.01,LT,3.26,,0.003,LT,,170
GAR000000004879,2018-11-08,GMW000000037726,B16C0021,3,-53.52,-54.52,-3.44,51.08,0.05,LT,4.3,,0.01,LT,27,250
GAR000000065343,2024-10-17,GMW000000037726,B16C0021,3,-53.52,-54.52,-3.44,51.08,0.05,LT,4.79,,0.01,LT,487.32,271.81
GAR000000004369,1985-12-12,GMW000000037691,B26C0116,3,-53.5,-54.5,-4.09,50.41,0.02,LT,3.03,,0.006,LT,,2270
GAR000000004370,1991-07-30,GMW000000037691,B26C0116,3,-53.5,-54.5,-4.09,50.41,0.0045,LT,1.55,,0.006,LT,3,1642
GAR000000004371,1998-11-25,GMW000000037691,B26C0116,3,-53.5,-54.5,-4.09,50.41,0.11,LT,1.32,,0.006,LT,3.7,890
GAR000000060697,1990-09-03,GMW000000050841,B42F0023,5,-53.5,-54.5,-0.4,54.1,,,,,,,,18885
GAR000000060977,1993-01-01,GMW000000050841,B42F0023,5,-53.5,-54.5,-0.4,54.1,,,,,,,,16817
GAR000000061259,1993-06-16,GMW000000050841,B42F0023,5,-53.5,-54.5,-0.4,54.1,,,,,,,,15793
GAR000000061533,1992-01-08,GMW000000050841,B42F0023,5,-53.5,-54.5,-0.4,54.1,,,,,,,,18616
GAR000000004087,1977-02-04,GMW000000037609,B26E0037,3,-53.39,-54.39,-3.49,50.9,0.0045,LT,3.73,,0.25,,,1932
GAR000000004088,1990-11-19,GMW000000037609,B26E0037,3,-53.39,-54.39,-3.49,50.9,0.0045,LT,2.8,,0.006,LT,0.9,1924
GAR000000004089,1997-10-02,GMW000000037609,B26E0037,3,-53.39,-54.39,-3.49,50.9,0.11,LT,0.38,,0.006,LT,1.7,1900
GAR000000004090,2003-01-23,GMW000000037609,B26E0037,3,-53.39,-54.39,-3.49,50.9,0.11,LT,3.65,,0.006,LT,1.4,1900
GAR000000004375,1984-11-16,GMW000000037647,B26C0139,2,-53.36,-54.36,-3.99,50.37,0.02,LT,1.94,,0.006,LT,,115
GAR000000004376,1991-07-31,GMW000000037647,B26C0139,2,-53.36,-54.36,-3.99,50.37,0.0045,LT,0.93,,0.006,LT,1.9,117
GAR000000004377,1998-11-11,GMW000000037647,B26C0139,2,-53.36,-54.36,-3.99,50.37,0.11,LT,1.24,,0.006,LT,1.4,135
