krw_code,station_name,x_rd,y_rd,lat,lon,year,Ntot_zomergem_mgL,Ptot_zomergem_mgL
NL14_04,Honswijk,139470.2364359304,445440.94360880647,51.997134569917286,5.161073208024356,2024,1.7,0.133
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1990,,4.25
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1991,,3.472
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1992,,3.063
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1993,10.38,2.63
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1994,9.18,2.443
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1995,8.69,2.3
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1996,8.69,1.669
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1997,8.21,1.778
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1998,7.79,1.858
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,1999,7.34,2.161
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2000,6.57,1.923
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2001,6.64,1.68
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2002,7.16,1.244
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2003,8.33,0.846
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2004,9.03,0.544
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2005,8.86,0.458
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2006,7.37,0.482
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2007,6.08,0.54
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2008,5.33,0.72
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2009,4.97,0.75
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2010,4.46,0.658
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2011,3.88,0.442
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2012,4.01,0.294
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2013,4.21,0.231
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2014,4.43,0.187
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2015,4.52,0.3
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2016,4.97,0.313
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2017,6.27,0.367
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2018,5.9,0.227
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2019,5.93,0.233
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2020,4.87,0.17
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2021,5.07,0.167
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2022,4.7,0.153
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2023,4.6,0.193
NL14_05,Biltse Grift,142897.02010902055,455289.55167287425,52.08573969326268,5.210622043492427,2024,4.67,0.213
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2006,1.3,0.095
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2007,1.85,0.179
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2008,1.57,0.152
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2009,1.51,0.237
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2010,1.5,0.221
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2011,1.91,0.271
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2012,1.95,0.193
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2013,1.6,0.154
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2014,1.33,0.139
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2015,1.3,0.146
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2016,1.33,0.153
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2017,1.43,0.133
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2018,1.43,0.157
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2019,1.37,0.173
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2020,1.37,0.173
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2021,1.4,0.15
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2022,1.37,0.14
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2023,1.37,0.14
NL14_06,Ravensewetering,137261.46838260366,451305.79610033595,52.04978194562609,5.128607531211085,2024,1.27,0.137
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1992,,0.84
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1993,4.18,0.629
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1994,4.18,0.57
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1995,4.08,0.418
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1996,4.08,0.37
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1997,3.85,0.325
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1998,3.64,0.317
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,1999,3.28,0.355
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2000,3.14,0.336
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2001,2.97,0.322
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2002,3.04,0.265
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2003,3.22,0.256
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2004,3.31,0.222
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2005,3.19,0.211
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2006,3.22,0.189
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2007,3.15,0.217
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2008,3.17,0.217
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2009,2.77,0.217
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2010,2.61,0.178
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2011,2.55,0.169
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2012,2.48,0.17
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2013,2.36,0.143
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2014,2.43,0.157
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2015,2.33,0.143
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2016,2.43,0.157
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2017,2.3,0.133
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2018,2.27,0.127
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2019,2.17,0.117
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2020,2.07,0.103
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2021,2.23,0.099
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2022,2.17,0.105
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2023,2.27,0.117
NL14_07,Merwedekanaal,135192.88108394778,448747.5433652676,52.02671830491258,5.098599798335832,2024,2.3,0.14
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,1993,3.85,
NL14_08,Binnenstad Utrecht,137332.4079910031,455720.6454897928,52.08946478905868,5.129413248657054,1994,3.97,0.305
