code,waterboard,year,n_installations,capacity_ie_x1000,influent_volume_1000m3,N_influent_ton,P_influent_ton,effluent_volume_1000m3,N_effluent_ton,P_effluent_ton,N_removal_process_pct,P_removal_process_pct,N_removal_total_pct,P_removal_total_pct
WS19,Waterschap Velt en Vecht (WS),2007,7.0,,26392.0,1317.0,213.0,26392.0,256.0,39.0,83.0,86.0,81.0,82.0
WS20,Waterschap Zuiderzeeland (WS),2007,5.0,,27544.0,1866.0,297.0,27544.0,270.0,17.0,86.0,94.0,86.0,94.0
WS21,Hhs Hollands Noorderkwartier (WS),2007,18.0,,97144.0,5039.0,826.0,97144.0,877.0,143.0,86.0,78.0,83.0,83.0
WS22,Waterschap Brabantse Delta (WS),2007,18.0,,109113.0,3946.0,720.0,109113.0,862.0,161.0,83.0,82.0,78.0,78.0
WS23,Wetterskip Fryslân (WS),2007,29.0,,100164.0,3539.0,604.0,100164.0,622.0,118.0,82.0,79.0,82.0,80.0
WS24,Waterschap Aa en Maas (WS),2007,7.0,,108738.0,4492.0,957.0,108738.0,896.0,157.0,82.0,83.0,80.0,84.0
WS25,Waterschap Hollandse Delta (WS),2007,22.0,,146033.0,5034.0,819.0,146033.0,1110.0,144.0,82.0,79.0,78.0,82.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2007,9.0,,60025.0,2159.0,357.0,60025.0,496.0,78.0,87.0,76.0,77.0,78.0
WS31,Waterschap Limburg (WS),2007,18.0,,166833.0,6269.0,1095.0,166833.0,1443.0,255.0,69.0,68.0,77.0,77.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2007,12.0,,127329.0,6690.0,1008.0,127329.0,1138.0,96.0,78.0,87.0,83.0,91.0
NL01,Nederland totaal,2008,351.0,,1928192.0,89310.0,14951.0,1928192.0,16820.0,2551.0,82.0,80.0,81.0,83.0
WS01,Waterschap Groot Salland (WS),2008,9.0,,34027.0,1837.0,320.0,34027.0,437.0,77.0,82.0,85.0,76.0,76.0
WS02,Waterschap Rijn en IJssel (WS),2008,14.0,,67343.0,4104.0,646.0,67343.0,687.0,115.0,81.0,84.0,83.0,82.0
WS03,Waterschap Veluwe (WS),2008,8.0,,58051.0,3301.0,592.0,58051.0,575.0,100.0,82.0,81.0,83.0,83.0
WS04,Waterschap Vallei & Eem (WS),2008,8.0,,66289.0,4145.0,541.0,66289.0,596.0,87.0,83.0,83.0,86.0,84.0
WS06,Waterschap Regge & Dinkel (WS),2008,19.0,,69989.0,3593.0,586.0,69989.0,552.0,124.0,85.0,78.0,85.0,79.0
WS07,Hoogheemraadschap van Delfland (WS),2008,4.0,,124129.0,5521.0,876.0,124129.0,1243.0,149.0,74.0,75.0,77.0,83.0
WS08,Waterschap Zeeuws-Vlaanderen (WS),2008,7.0,,15221.0,723.0,118.0,15221.0,157.0,20.0,82.0,75.0,78.0,83.0
WS09,Waterschap Zeeuwse Eilanden (WS),2008,10.0,,36024.0,1568.0,256.0,36024.0,276.0,48.0,82.0,77.0,82.0,81.0
WS10,Waterschap De Dommel (WS),2008,8.0,,103675.0,4612.0,849.0,103675.0,860.0,88.0,83.0,86.0,81.0,90.0
WS12,Hoogheemraadschap van Rijnland (WS),2008,29.0,,125712.0,5488.0,963.0,125712.0,884.0,110.0,81.0,86.0,84.0,89.0
WS13,Waterschap Rivierenland (WS),2008,39.0,,109433.0,4590.0,795.0,109433.0,786.0,195.0,84.0,71.0,83.0,76.0
WS14,Hhs De Stichtse Rijnlanden (WS),2008,17.0,,78035.0,4150.0,713.0,78035.0,780.0,115.0,83.0,82.0,81.0,84.0
WS16,Waterschap Hunze en Aa's (WS),2008,13.0,,35633.0,1612.0,244.0,35633.0,251.0,38.0,85.0,85.0,84.0,84.0
WS17,Waterschap Noorderzijlvest (WS),2008,15.0,,56697.0,2313.0,329.0,56697.0,753.0,58.0,74.0,75.0,67.0,82.0
WS18,Waterschap Reest en Wieden (WS),2008,8.0,,29396.0,1350.0,346.0,29396.0,150.0,55.0,89.0,86.0,89.0,84.0
WS19,Waterschap Velt en Vecht (WS),2008,7.0,,24324.0,1315.0,213.0,24324.0,248.0,44.0,84.0,86.0,81.0,79.0
WS20,Waterschap Zuiderzeeland (WS),2008,5.0,,27452.0,1913.0,308.0,27452.0,241.0,19.0,88.0,94.0,87.0,94.0
WS21,Hhs Hollands Noorderkwartier (WS),2008,17.0,,103158.0,5291.0,876.0,103158.0,842.0,147.0,85.0,77.0,84.0,83.0
WS22,Waterschap Brabantse Delta (WS),2008,17.0,,100565.0,4014.0,715.0,100565.0,915.0,162.0,83.0,84.0,77.0,77.0
WS23,Wetterskip Fryslân (WS),2008,29.0,,93429.0,3368.0,581.0,93429.0,580.0,90.0,82.0,84.0,83.0,85.0
WS24,Waterschap Aa en Maas (WS),2008,7.0,,98270.0,4428.0,904.0,98270.0,815.0,150.0,84.0,83.0,82.0,83.0
WS25,Waterschap Hollandse Delta (WS),2008,22.0,,136662.0,4996.0,799.0,136662.0,1126.0,145.0,83.0,80.0,77.0,82.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2008,9.0,,55108.0,2047.0,328.0,55108.0,395.0,79.0,89.0,75.0,81.0,76.0
WS31,Waterschap Limburg (WS),2008,18.0,,154790.0,6285.0,1045.0,154790.0,1517.0,245.0,69.0,64.0,76.0,77.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2008,12.0,,124779.0,6746.0,1009.0,124779.0,1158.0,91.0,78.0,89.0,83.0,91.0
NL01,Nederland totaal,2009,351.0,,1818441.0,86650.0,14601.0,1818441.0,15174.0,2303.0,82.0,80.0,82.0,84.0
WS01,Waterschap Groot Salland (WS),2009,9.0,,33425.0,1862.0,302.0,33425.0,333.0,62.0,85.0,85.0,82.0,80.0
WS02,Waterschap Rijn en IJssel (WS),2009,14.0,,63752.0,3478.0,535.0,63752.0,556.0,122.0,82.0,80.0,84.0,77.0
WS03,Waterschap Veluwe (WS),2009,8.0,,57554.0,3027.0,558.0,57554.0,526.0,110.0,83.0,82.0,83.0,80.0
WS04,Waterschap Vallei & Eem (WS),2009,8.0,,63180.0,3262.0,535.0,63180.0,595.0,60.0,84.0,87.0,82.0,89.0
WS06,Waterschap Regge & Dinkel (WS),2009,19.0,,67013.0,3380.0,542.0,67013.0,563.0,96.0,84.0,77.0,83.0,82.0
WS07,Hoogheemraadschap van Delfland (WS),2009,4.0,,117787.0,5567.0,901.0,117787.0,944.0,176.0,81.0,71.0,83.0,81.0
WS08,Waterschap Zeeuws-Vlaanderen (WS),2009,7.0,,15579.0,568.0,93.0,15579.0,139.0,21.0,80.0,68.0,76.0,77.0
WS09,Waterschap Zeeuwse Eilanden (WS),2009,10.0,,34701.0,1614.0,268.0,34701.0,285.0,38.0,83.0,77.0,82.0,86.0
WS10,Waterschap De Dommel (WS),2009,8.0,,101308.0,4573.0,905.0,101308.0,771.0,89.0,83.0,88.0,83.0,90.0
WS12,Hoogheemraadschap van Rijnland (WS),2009,29.0,,114282.0,5409.0,889.0,114282.0,767.0,94.0,84.0,88.0,86.0,89.0
WS13,Waterschap Rivierenland (WS),2009,39.0,,104620.0,4660.0,791.0,104620.0,819.0,169.0,83.0,71.0,82.0,79.0
WS14,Hhs De Stichtse Rijnlanden (WS),2009,17.0,,77523.0,4115.0,751.0,77523.0,665.0,117.0,86.0,82.0,84.0,84.0
WS16,Waterschap Hunze en Aa's (WS),2009,13.0,,34059.0,1681.0,290.0,34059.0,243.0,28.0,85.0,88.0,86.0,90.0
WS17,Waterschap Noorderzijlvest (WS),2009,15.0,,53293.0,2210.0,303.0,53293.0,604.0,47.0,75.0,78.0,73.0,84.0
WS18,Waterschap Reest en Wieden (WS),2009,8.0,,26595.0,1362.0,349.0,26595.0,152.0,30.0,88.0,91.0,89.0,91.0
WS19,Waterschap Velt en Vecht (WS),2009,7.0,,22600.0,1342.0,219.0,22600.0,208.0,20.0,86.0,91.0,84.0,91.0
WS20,Waterschap Zuiderzeeland (WS),2009,5.0,,26592.0,1932.0,318.0,26592.0,269.0,24.0,85.0,92.0,86.0,93.0
WS21,Hhs Hollands Noorderkwartier (WS),2009,17.0,,91637.0,5092.0,881.0,91637.0,721.0,120.0,86.0,79.0,86.0,86.0
WS22,Waterschap Brabantse Delta (WS),2009,17.0,,96864.0,3931.0,677.0,96864.0,866.0,141.0,84.0,84.0,78.0,79.0
WS23,Wetterskip Fryslân (WS),2009,29.0,,82248.0,3434.0,583.0,82248.0,511.0,91.0,79.0,82.0,85.0,84.0
WS24,Waterschap Aa en Maas (WS),2009,7.0,,97304.0,4380.0,877.0,97304.0,686.0,121.0,85.0,86.0,84.0,86.0
WS25,Waterschap Hollandse Delta (WS),2009,22.0,,128313.0,5058.0,817.0,128313.0,1115.0,141.0,85.0,77.0,78.0,83.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2009,9.0,,48882.0,1915.0,292.0,48882.0,322.0,72.0,89.0,74.0,83.0,75.0
WS31,Waterschap Limburg (WS),2009,18.0,,143203.0,6111.0,951.0,143203.0,1383.0,223.0,67.0,65.0,77.0,77.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2009,12.0,,116127.0,6685.0,973.0,116127.0,1132.0,91.0,76.0,89.0,83.0,91.0
NL01,Nederland totaal,2010,349.0,30365.0,1934310.0,87866.0,13880.0,1934310.0,16586.0,2226.0,82.0,81.0,81.0,84.0
WS01,Waterschap Groot Salland (WS),2010,9.0,635.0,36557.0,1875.0,292.0,36557.0,407.0,67.0,83.0,81.0,78.0,77.0
WS02,Waterschap Rijn en IJssel (WS),2010,14.0,1283.0,66141.0,3490.0,481.0,66141.0,545.0,102.0,81.0,82.0,84.0,79.0
WS03,Waterschap Veluwe (WS),2010,8.0,874.0,55623.0,2986.0,477.0,55623.0,557.0,99.0,81.0,80.0,81.0,79.0
WS04,Waterschap Vallei & Eem (WS),2010,8.0,1129.0,65752.0,3497.0,554.0,65752.0,617.0,59.0,85.0,88.0,82.0,89.0
WS06,Waterschap Regge & Dinkel (WS),2010,19.0,1355.0,73771.0,3396.0,534.0,73771.0,638.0,114.0,81.0,78.0,81.0,79.0
WS07,Hoogheemraadschap van Delfland (WS),2010,4.0,2006.0,128573.0,5837.0,868.0,128573.0,1158.0,165.0,77.0,71.0,80.0,81.0
WS08,Waterschap Zeeuws-Vlaanderen (WS),2010,7.0,228.0,16268.0,620.0,84.0,16268.0,125.0,21.0,81.0,67.0,80.0,75.0
WS09,Waterschap Zeeuwse Eilanden (WS),2010,9.0,569.0,38994.0,1551.0,228.0,38994.0,381.0,41.0,81.0,78.0,75.0,82.0
WS10,Waterschap De Dommel (WS),2010,8.0,1476.0,109279.0,4736.0,873.0,109279.0,843.0,73.0,84.0,90.0,82.0,92.0
WS12,Hoogheemraadschap van Rijnland (WS),2010,29.0,2109.0,124144.0,5646.0,872.0,124144.0,804.0,104.0,82.0,84.0,86.0,88.0
WS13,Waterschap Rivierenland (WS),2010,39.0,1642.0,113907.0,4813.0,770.0,113907.0,974.0,180.0,81.0,71.0,80.0,77.0
WS14,Hhs De Stichtse Rijnlanden (WS),2010,17.0,1388.0,83781.0,4153.0,666.0,83781.0,682.0,89.0,87.0,83.0,84.0,87.0
WS16,Waterschap Hunze en Aa's (WS),2010,13.0,625.0,37161.0,1564.0,249.0,37161.0,270.0,29.0,84.0,89.0,83.0,88.0
WS17,Waterschap Noorderzijlvest (WS),2010,15.0,707.0,56722.0,2354.0,305.0,56722.0,593.0,45.0,74.0,81.0,75.0,85.0
WS18,Waterschap Reest en Wieden (WS),2010,8.0,536.0,28157.0,1360.0,344.0,28157.0,156.0,28.0,88.0,92.0,89.0,92.0
WS19,Waterschap Velt en Vecht (WS),2010,7.0,427.0,23708.0,1215.0,186.0,23708.0,225.0,28.0,82.0,84.0,81.0,85.0
WS20,Waterschap Zuiderzeeland (WS),2010,5.0,668.0,27463.0,1852.0,273.0,27463.0,243.0,24.0,85.0,90.0,87.0,91.0
WS21,Hhs Hollands Noorderkwartier (WS),2010,17.0,1710.0,99194.0,5030.0,802.0,99194.0,872.0,137.0,82.0,77.0,83.0,83.0
WS22,Waterschap Brabantse Delta (WS),2010,17.0,1392.0,103723.0,4005.0,666.0,103723.0,950.0,148.0,83.0,84.0,76.0,78.0
WS23,Wetterskip Fryslân (WS),2010,28.0,1388.0,85578.0,3489.0,553.0,85578.0,517.0,79.0,84.0,83.0,85.0,86.0
WS24,Waterschap Aa en Maas (WS),2010,7.0,1501.0,104019.0,4557.0,905.0,104019.0,903.0,141.0,81.0,86.0,80.0,84.0
WS25,Waterschap Hollandse Delta (WS),2010,22.0,1819.0,134297.0,5179.0,769.0,134297.0,1278.0,114.0,84.0,83.0,75.0,85.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2010,9.0,709.0,52642.0,2018.0,278.0,52642.0,371.0,56.0,88.0,78.0,82.0,80.0
WS31,Waterschap Limburg (WS),2010,18.0,2120.0,143879.0,5970.0,896.0,143879.0,1342.0,202.0,70.0,67.0,78.0,77.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2010,12.0,2068.0,124977.0,6672.0,958.0,124977.0,1135.0,81.0,77.0,89.0,83.0,92.0
NL01,Nederland totaal,2011,346.0,30383.0,1917390.0,89320.0,13851.0,1917390.0,15250.0,2126.0,84.0,82.0,83.0,85.0
WS01,Waterschap Groot Salland (WS),2011,9.0,635.0,36726.0,1876.0,289.0,36726.0,388.0,49.0,84.0,87.0,79.0,83.0
WS02,Waterschap Rijn en IJssel (WS),2011,13.0,1264.0,66264.0,3779.0,516.0,66264.0,614.0,120.0,84.0,85.0,84.0,77.0
WS03,Waterschap Veluwe (WS),2011,8.0,874.0,53972.0,2742.0,427.0,53972.0,530.0,82.0,81.0,80.0,81.0,81.0
WS04,Waterschap Vallei & Eem (WS),2011,8.0,1129.0,69687.0,3393.0,526.0,69687.0,529.0,49.0,87.0,90.0,84.0,91.0
WS06,Waterschap Regge & Dinkel (WS),2011,18.0,1365.0,72157.0,3515.0,516.0,72157.0,573.0,108.0,82.0,76.0,84.0,79.0
WS07,Hoogheemraadschap van Delfland (WS),2011,4.0,2006.0,126557.0,5746.0,835.0,126557.0,1104.0,174.0,78.0,70.0,81.0,79.0
WS10,Waterschap De Dommel (WS),2011,8.0,1471.0,109267.0,5018.0,868.0,109267.0,908.0,89.0,85.0,90.0,82.0,90.0
WS12,Hoogheemraadschap van Rijnland (WS),2011,28.0,2114.0,128157.0,5790.0,842.0,128157.0,741.0,97.0,84.0,86.0,87.0,88.0
WS13,Waterschap Rivierenland (WS),2011,39.0,1648.0,112706.0,4759.0,763.0,112706.0,912.0,172.0,84.0,75.0,81.0,77.0
WS14,Hhs De Stichtse Rijnlanden (WS),2011,17.0,1388.0,82228.0,4017.0,686.0,82228.0,581.0,90.0,88.0,86.0,86.0,87.0
WS16,Waterschap Hunze en Aa's (WS),2011,13.0,625.0,36411.0,1570.0,237.0,36411.0,234.0,22.0,85.0,92.0,85.0,91.0
WS17,Waterschap Noorderzijlvest (WS),2011,15.0,707.0,52639.0,2331.0,304.0,52639.0,582.0,44.0,77.0,84.0,75.0,86.0
WS18,Waterschap Reest en Wieden (WS),2011,8.0,519.0,26413.0,1291.0,243.0,26413.0,142.0,22.0,87.0,89.0,89.0,91.0
WS19,Waterschap Velt en Vecht (WS),2011,7.0,427.0,32159.0,1431.0,212.0,32159.0,191.0,17.0,86.0,91.0,87.0,92.0
WS20,Waterschap Zuiderzeeland (WS),2011,5.0,668.0,26882.0,2047.0,314.0,26882.0,220.0,25.0,90.0,91.0,89.0,92.0
WS21,Hhs Hollands Noorderkwartier (WS),2011,17.0,1748.0,99195.0,5278.0,810.0,99195.0,732.0,114.0,85.0,77.0,86.0,86.0
WS22,Waterschap Brabantse Delta (WS),2011,17.0,1392.0,97973.0,4095.0,670.0,97973.0,908.0,139.0,84.0,84.0,78.0,79.0
WS23,Wetterskip Fryslân (WS),2011,28.0,1388.0,83428.0,3541.0,588.0,83428.0,506.0,80.0,84.0,85.0,86.0,86.0
WS24,Waterschap Aa en Maas (WS),2011,7.0,1501.0,104845.0,4760.0,991.0,104845.0,835.0,127.0,84.0,87.0,82.0,87.0
WS25,Waterschap Hollandse Delta (WS),2011,22.0,1819.0,124145.0,5078.0,728.0,124145.0,1019.0,105.0,84.0,82.0,80.0,86.0
WS26,Hhs van Schieland en Krimpenerwaard (WS),2011,9.0,709.0,52361.0,2017.0,285.0,52361.0,271.0,53.0,90.0,77.0,87.0,81.0
WS27,Waterschap Scheldestromen (WS),2011,16.0,797.0,50248.0,2250.0,318.0,50248.0,397.0,69.0,86.0,76.0,82.0,78.0
WS31,Waterschap Limburg (WS),2011,18.0,2120.0,148868.0,6146.0,906.0,148868.0,1227.0,198.0,75.0,69.0,80.0,78.0
WS32,"WS Amstel, Gooi en Vecht (WS)",2011,12.0,2069.0,124100.0,6848.0,978.0,124100.0,1106.0,81.0,77.0,89.0,84.0,92.0
NL01,Nederland totaal,2012,343.0,30358.0,1985471.0,89042.0,13459.0,1985471.0,15214.0,2065.0,84.0,82.0,83.0,85.0
WS01,Waterschap Groot Salland (WS),2012,9.0,635.0,35997.0,1861.0,276.0,35997.0,342.0,51.0,84.0,87.0,82.0,82.0
WS02,Waterschap Rijn en IJssel (WS),2012,13.0,1264.0,64965.0,3354.0,458.0,64965.0,510.0,104.0,86.0,85.0,85.0,77.0
