gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000065358,GMW000000011636,1,2024-09-19T12:00:00+02:00,0.05,mg/l,0.01,mg/l,12.53,mg/l,,,1.94,mg/l,3.33,mg/l,353.79,mg/l,1.64,mg/l,467.38,mg/l,49.06,mg/l,36.63,mg/l,238.62,mg/l,24.84,mg/l,3062.91,ug/l,282.51,ug/l
GAR000000065360,GMW000000011636,4,2024-09-19T12:00:00+02:00,0.05,mg/l,0.01,mg/l,5.31,mg/l,,,0.01,mg/l,0.32,mg/l,5242.9,mg/l,535.42,mg/l,278.58,mg/l,570.29,mg/l,305.02,mg/l,2512.63,mg/l,52.14,mg/l,11491.82,ug/l,1398.77,ug/l
GAR000000064895,GMW000000017651,1,2024-09-19T12:00:00+02:00,0.05,mg/l,0.01,mg/l,3.81,mg/l,,,3.19,mg/l,3.42,mg/l,52.96,mg/l,1.06,mg/l,443.47,mg/l,120.51,mg/l,12.31,mg/l,34.24,mg/l,8.99,mg/l,743.89,ug/l,1529.31,ug/l
GAR000000064909,GMW000000017651,2,2024-09-19T12:00:00+02:00,0.05,mg/l,0.01,mg/l,2.07,mg/l,,,0.01,mg/l,1,mg/l,52.49,mg/l,19.65,mg/l,380.21,mg/l,85.44,mg/l,9.71,mg/l,56.12,mg/l,2.04,mg/l,11505.38,ug/l,259.96,ug/l
GAR000000065364,GMW000000037604,2,2024-09-19T12:00:00+02:00,0.05,mg/l,0.01,mg/l,0.41,mg/l,,,0.06,mg/l,0.19,mg/l,11.28,mg/l,1.55,mg/l,203.98,mg/l,34.8,mg/l,4.85,mg/l,35.64,mg/l,4.25,mg/l,1206.01,ug/l,150.93,ug/l
GAR000000064857,GMW000000017622,2,2024-09-20T12:00:00+02:00,0.05,mg/l,0.01,mg/l,7.55,mg/l,,,0.01,mg/l,1.89,mg/l,113.09,mg/l,7.7,mg/l,1027.6,mg/l,280.04,mg/l,24.23,mg/l,60.07,mg/l,6.89,mg/l,23529.08,ug/l,1128.16,ug/l
GAR000000066921,GMW000000034215,1,2024-09-20T12:00:00+02:00,0.14,mg/l,0.01,mg/l,2.8,mg/l,,,3.64,mg/l,3.63,mg/l,168.4,mg/l,1,mg/l,666.73,mg/l,143.46,mg/l,30.84,mg/l,125.57,mg/l,13.99,mg/l,877.59,ug/l,1204.53,ug/l
GAR000000066963,GMW000000034286,2,2024-09-20T12:00:00+02:00,0.05,mg/l,0.01,mg/l,3.41,mg/l,,,1.71,mg/l,1.94,mg/l,23.27,mg/l,1.28,mg/l,730.04,mg/l,127.19,mg/l,51.47,mg/l,18.34,mg/l,25.28,mg/l,1137.96,ug/l,1150.53,ug/l
GAR000000064408,GMW000000049992,2,2024-09-23T06:57:36+02:00,0.1,mg/l,0.01,mg/l,6.23,mg/l,,,0.15,mg/l,0.21,mg/l,29.94,mg/l,1,mg/l,409,mg/l,111.64,mg/l,9.96,mg/l,16.88,mg/l,1.14,mg/l,10679.55,ug/l,348.15,ug/l
GAR000000064410,GMW000000049992,4,2024-09-23T06:57:36+02:00,0.05,mg/l,0.01,mg/l,3.57,mg/l,,,0.12,mg/l,0.21,mg/l,33.99,mg/l,1,mg/l,337.45,mg/l,97.48,mg/l,6.42,mg/l,16.81,mg/l,1.58,mg/l,9183.14,ug/l,363.35,ug/l
GAR000000064427,GMW000000049992,1,2024-09-23T06:57:36+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000064308,GMW000000038611,1,2024-09-23T10:19:12+02:00,14.94,mg/l,0.11,mg/l,0.02,mg/l,,,0.01,mg/l,0.06,mg/l,26.48,mg/l,75.24,mg/l,291.88,mg/l,127.65,mg/l,9.33,mg/l,14.39,mg/l,7.84,mg/l,20,ug/l,1634.22,ug/l
GAR000000064310,GMW000000038611,3,2024-09-23T10:19:12+02:00,3,mg/l,,,0.14,mg/l,,,,,0.06,mg/l,38,mg/l,110,mg/l,309,mg/l,140,mg/l,9.7,mg/l,21,mg/l,1.5,mg/l,4000,ug/l,290,ug/l
GAR000000064867,GMW000000017618,2,2024-09-23T12:00:00+02:00,0.27,mg/l,0.01,mg/l,28.65,mg/l,,,0.01,mg/l,3.29,mg/l,81.02,mg/l,1.91,mg/l,561.93,mg/l,125.06,mg/l,10.62,mg/l,47.49,mg/l,4.05,mg/l,26766.19,ug/l,1204.38,ug/l
