gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000016352,GMW000000038776,1,2002-06-06T13:00:00+02:00,8.882,mg/l,,,0.014,mg/l,,,,,0.062,mg/l,12.337,mg/l,37.463,mg/l,,,38.236,mg/l,3.865,mg/l,8.115,mg/l,0.391,mg/l,34,ug/l,4,ug/l
GAR000000014266,GMW000000009860,3,2002-07-01T12:00:00+02:00,0.3,mg/l,0.56,mg/l,2.29,mg/l,,,0.11,mg/l,0.32,mg/l,,,6,mg/l,,,105,mg/l,18.5,mg/l,33.8,mg/l,6.27,mg/l,52500,ug/l,1375,ug/l
GAR000000019100,GMW000000038834,1,2002-08-01T13:00:00+02:00,0.028,mg/l,,,0.154,mg/l,,,,,0.288,mg/l,12.372,mg/l,12.584,mg/l,,,47.294,mg/l,3.841,mg/l,8.644,mg/l,2.581,mg/l,8394,ug/l,342,ug/l
GAR000000031114,GMW000000038642,3,2002-08-13T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000028428,GMW000000038764,2,2002-08-20T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000001291,GMW000000050008,1,2002-08-21T12:00:00+02:00,0.02,mg/l,,,0.36,mg/l,,,,,0.72,mg/l,68.84,mg/l,0.09,mg/l,,,51.3,mg/l,8.21,mg/l,45.29,mg/l,7.82,mg/l,7462,ug/l,226,ug/l
GAR000000034215,GMW000000038607,1,2002-09-06T13:00:00+02:00,0.028,mg/l,,,2.087,mg/l,,,,,0.669,mg/l,89.901,mg/l,27.953,mg/l,,,73.467,mg/l,27.349,mg/l,44.808,mg/l,13.763,mg/l,73,ug/l,94,ug/l
GAR000000042480,GMW000000049431,2,2002-09-25T12:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000037007,GMW000000038544,1,2002-10-01T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000011989,GMW000000015461,1,2002-11-25T11:00:00+01:00,0.04,mg/l,,,8.9,mg/l,,,,,5.8,mg/l,230,mg/l,830,mg/l,830,mg/l,470,mg/l,67,mg/l,110,mg/l,44,mg/l,24000,ug/l,3100,ug/l
GAR000000006989,GMW000000017724,4,2002-12-13T11:00:00+01:00,0.11,mg/l,,,0.32,mg/l,,,,,0.11,mg/l,27.61,mg/l,79.61,mg/l,39.76,mg/l,28.94,mg/l,4.97,mg/l,13.64,mg/l,1.41,mg/l,18760,ug/l,,
GAR000000000001,GMW000000004007,1,2003-01-01T11:00:00+01:00,0.12,mg/l,,,0.2,mg/l,,,,,0.05,mg/l,34.33,mg/l,146.61,mg/l,4.64,mg/l,120.77,mg/l,17.65,mg/l,22.87,mg/l,3.62,mg/l,2251.8,ug/l,583.75,ug/l
GAR000000060643,GMW000000057258,1,2003-01-17T11:00:00+01:00,0.1,mg/l,,,0.28,mg/l,,,0.02,mg/l,0.05,mg/l,40,mg/l,44,mg/l,662,mg/l,204,mg/l,15,mg/l,31,mg/l,11.7,mg/l,5000,ug/l,320,ug/l
GAR000000005139,GMW000000037690,2,2003-01-24T11:00:00+01:00,0.13,mg/l,0.006,mg/l,11.67,mg/l,,,0.14,mg/l,0.13,mg/l,720,mg/l,140,mg/l,,,110,mg/l,85,mg/l,370,mg/l,24,mg/l,5400,ug/l,,
GAR000000020611,GMW000000038804,2,2003-04-01T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000016788,GMW000000038525,2,2003-05-19T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000035101,GMW000000038578,1,2003-05-22T13:00:00+02:00,2.5,mg/l,,,0.03,mg/l,,,,,0.06,mg/l,11.61,mg/l,29.76,mg/l,,,6.61,mg/l,4.52,mg/l,9.44,mg/l,1.7,mg/l,15,ug/l,124,ug/l
GAR000000027818,GMW000000038532,2,2003-05-27T13:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000002454,GMW000000050011,1,2003-08-27T12:00:00+02:00,0.07,mg/l,,,0.53,mg/l,,,,,0.22,mg/l,51.95,mg/l,66.14,mg/l,,,183.42,mg/l,18.29,mg/l,19.82,mg/l,2,mg/l,24669,ug/l,1343,ug/l
GAR000000031654,GMW000000038725,1,2003-09-10T13:00:00+02:00,0.04,mg/l,,,11.42,mg/l,,,,,2.39,mg/l,82.42,mg/l,0.1,mg/l,,,129.18,mg/l,33.29,mg/l,50.54,mg/l,18.8,mg/l,6440,ug/l,682,ug/l
GAR000000042968,GMW000000049422,2,2003-09-30T12:00:00+02:00,16.09,mg/l,,,0.03,mg/l,,,,,0.06,mg/l,35.04,mg/l,101.39,mg/l,,,49.49,mg/l,10.5,mg/l,18.44,mg/l,11.5,mg/l,,,2510,ug/l
GAR000000038358,GMW000000038849,1,2003-10-01T13:00:00+02:00,0.03,mg/l,,,21.92,mg/l,,,,,3.03,mg/l,42.34,mg/l,0.1,mg/l,,,133.46,mg/l,48.8,mg/l,29.33,mg/l,16.1,mg/l,23465,ug/l,1832,ug/l
GAR000000024268,GMW000000038825,1,2003-10-28T12:00:00+01:00,3.43,mg/l,,,0.58,mg/l,,,,,0.07,mg/l,44.47,mg/l,162.77,mg/l,,,159.02,mg/l,16.04,mg/l,26.04,mg/l,18.8,mg/l,19193,ug/l,805,ug/l
GAR000000012453,GMW000000015299,1,2003-11-27T11:00:00+01:00,1.71,mg/l,,,0.19,mg/l,,,,,0.1,mg/l,22,mg/l,31,mg/l,30,mg/l,22,mg/l,1.6,mg/l,14,mg/l,2.7,mg/l,180,ug/l,17,ug/l
GAR000000007370,GMW000000017709,2,2003-12-31T11:00:00+01:00,0.26,mg/l,,,0.82,mg/l,,,,,0.05,mg/l,46.96,mg/l,265.95,mg/l,7.15,mg/l,54.19,mg/l,15.69,mg/l,20.97,mg/l,25.93,mg/l,35370,ug/l,,
GAR000000000029,GMW000000024101,2,2004-01-01T11:00:00+01:00,0.0022,mg/l,,,5.85,mg/l,,,,,0.52,mg/l,194.67,mg/l,0.1,mg/l,521.45,mg/l,100.07,mg/l,20.14,mg/l,147.42,mg/l,6.15,mg/l,12928.6,ug/l,,
GAR000000062118,GMW000000050974,4,2004-01-09T11:00:00+01:00,0.05,mg/l,,,3.74,mg/l,,,0.02,mg/l,0.35,mg/l,1535,mg/l,141,mg/l,303,mg/l,178,mg/l,62.9,mg/l,756,mg/l,25,mg/l,5930,ug/l,130,ug/l
GAR000000055104,GMW000000057230,2,2004-01-14T11:00:00+01:00,0.05,mg/l,,,1.35,mg/l,,,0.005,mg/l,0.05,mg/l,1120,mg/l,526,mg/l,550,mg/l,143,mg/l,92,mg/l,782,mg/l,62,mg/l,3820,ug/l,350,ug/l
GAR000000012615,GMW000000015492,4,2004-06-03T12:00:00+02:00,0.32,mg/l,,,1.41,mg/l,,,,,0.6,mg/l,36,mg/l,1.5,mg/l,361,mg/l,110,mg/l,8.1,mg/l,19,mg/l,4.1,mg/l,2000,ug/l,350,ug/l
GAR000000035760,GMW000000038573,1,2004-06-14T13:00:00+02:00,0.01,mg/l,,,2.41,mg/l,,,,,1.11,mg/l,36.1,mg/l,37.9,mg/l,,,91.4,mg/l,47.9,mg/l,14.6,mg/l,52.9,mg/l,2200,ug/l,81.8,ug/l
GAR000000041003,GMW000000038807,1,2004-08-17T13:00:00+02:00,0.4,mg/l,,,0.19,mg/l,,,,,0.013,mg/l,7.8,mg/l,15.5,mg/l,,,3,mg/l,2.8,mg/l,4.9,mg/l,0.97,mg/l,20,ug/l,5.3,ug/l
GAR000000029397,GMW000000038739,1,2004-09-07T13:00:00+02:00,0.01,mg/l,,,1.01,mg/l,,,,,0.219,mg/l,11.4,mg/l,2.2,mg/l,,,3.2,mg/l,0.51,mg/l,8.6,mg/l,1.2,mg/l,13100,ug/l,58.3,ug/l
GAR000000018941,GMW000000038555,3,2004-09-29T13:00:00+02:00,0.01,mg/l,,,4.04,mg/l,,,,,1.468,mg/l,28.3,mg/l,0.12,mg/l,,,71,mg/l,23.9,mg/l,32.4,mg/l,17.9,mg/l,6300,ug/l,366,ug/l
GAR000000014517,GMW000000034037,1,2004-11-22T11:00:00+01:00,7.22,mg/l,,,0.05,mg/l,,,,,0.05,mg/l,39,mg/l,55,mg/l,80,mg/l,32,mg/l,8.9,mg/l,19,mg/l,6.5,mg/l,30,ug/l,520,ug/l
GAR000000010962,GMW000000017639,1,2004-11-24T11:00:00+01:00,0.07,mg/l,0.1,mg/l,11.08,mg/l,,,3.66,mg/l,3.95,mg/l,155.9,mg/l,0.5,mg/l,795.6,mg/l,165.7,mg/l,29.8,mg/l,81.4,mg/l,5.9,mg/l,43043,ug/l,1859,ug/l
GAR000000001492,GMW000000049995,4,2004-11-24T11:00:00+01:00,0.07,mg/l,,,2.64,mg/l,,,,,0.22,mg/l,33.4,mg/l,0.48,mg/l,296.4,mg/l,86.51,mg/l,5.48,mg/l,16.49,mg/l,1,mg/l,9795,ug/l,367,ug/l
GAR000000010191,GMW000000017648,3,2004-11-30T11:00:00+01:00,0.06,mg/l,0.1,mg/l,9.82,mg/l,,,0.96,mg/l,1.66,mg/l,59.6,mg/l,0.4,mg/l,500.2,mg/l,104.3,mg/l,31.3,mg/l,31.1,mg/l,13.1,mg/l,1875,ug/l,767,ug/l
GAR000000006136,GMW000000017687,2,2004-12-02T11:00:00+01:00,0.01,mg/l,,,0.35,mg/l,,,,,0.09,mg/l,54.99,mg/l,159.29,mg/l,86.34,mg/l,87.35,mg/l,6.88,mg/l,29.4,mg/l,2.75,mg/l,20760,ug/l,651,ug/l
GAR000000009379,GMW000000017632,1,2004-12-07T11:00:00+01:00,0.06,mg/l,0.1,mg/l,7.14,mg/l,,,8.92,mg/l,15.88,mg/l,76.8,mg/l,4.2,mg/l,606,mg/l,133.3,mg/l,19.2,mg/l,38.3,mg/l,90.3,mg/l,11919,ug/l,761,ug/l
GAR000000020844,GMW000000038553,2,2005-01-11T12:00:00+01:00,12.05,mg/l,,,0.08,mg/l,,,,,0.003,mg/l,25.6,mg/l,85.3,mg/l,,,26.9,mg/l,15,mg/l,12.2,mg/l,4.9,mg/l,2,ug/l,231,ug/l
GAR000000012277,GMW000000015521,1,2005-01-12T11:00:00+01:00,5.4,mg/l,,,0.02,mg/l,,,,,0.08,mg/l,27,mg/l,66,mg/l,98,mg/l,57,mg/l,4.6,mg/l,16,mg/l,7.6,mg/l,20,ug/l,30,ug/l
GAR000000051645,GMW000000057239,3,2005-01-19T11:00:00+01:00,0.05,mg/l,0.01,mg/l,2.9,mg/l,,,1.44,mg/l,1.6,mg/l,130,mg/l,130,mg/l,436,mg/l,28,mg/l,35,mg/l,190,mg/l,65,mg/l,980,ug/l,90,ug/l
GAR000000059767,GMW000000057339,4,2005-01-31T11:00:00+01:00,0.1,mg/l,0.02,mg/l,7.3,mg/l,,,0.56,mg/l,0.72,mg/l,8000,mg/l,880,mg/l,705,mg/l,330,mg/l,420,mg/l,4400,mg/l,180,mg/l,6400,ug/l,50,ug/l
GAR000000056906,GMW000000004885,1,2005-02-28T11:00:00+01:00,0.05,mg/l,0.01,mg/l,1.5,mg/l,,,0.68,mg/l,0.89,mg/l,300,mg/l,190,mg/l,444,mg/l,70,mg/l,41,mg/l,250,mg/l,42,mg/l,2710,ug/l,160,ug/l
GAR000000035940,GMW000000038701,1,2005-04-28T13:00:00+02:00,0.01,mg/l,,,0.73,mg/l,,,,,0.215,mg/l,56.5,mg/l,0.12,mg/l,,,72.7,mg/l,5.7,mg/l,22.1,mg/l,0.69,mg/l,5500,ug/l,370,ug/l
GAR000000024984,GMW000000038545,3,2005-05-31T13:00:00+02:00,0.01,mg/l,,,1.32,mg/l,,,,,0.14,mg/l,27.5,mg/l,0.12,mg/l,,,127,mg/l,7.9,mg/l,37.1,mg/l,3,mg/l,8800,ug/l,246,ug/l
GAR000000001294,GMW000000050008,1,2005-08-23T12:00:00+02:00,0.07,mg/l,,,0.16,mg/l,,,,,0.52,mg/l,69.71,mg/l,0.48,mg/l,,,57.87,mg/l,9.71,mg/l,58.4,mg/l,5,mg/l,8400,ug/l,272,ug/l
GAR000000028216,GMW000000038902,1,2005-09-08T13:00:00+02:00,0.64,mg/l,,,4.43,mg/l,,,,,0.848,mg/l,54.5,mg/l,25.7,mg/l,,,94.1,mg/l,7.9,mg/l,41.1,mg/l,18.6,mg/l,600,ug/l,158,ug/l
GAR000000017276,GMW000000038579,1,2005-09-21T13:00:00+02:00,0.01,mg/l,,,0.24,mg/l,,,,,0.248,mg/l,20.5,mg/l,14.1,mg/l,,,46.3,mg/l,3.8,mg/l,7.8,mg/l,1.1,mg/l,2600,ug/l,323,ug/l
GAR000000032376,GMW000000038647,1,2005-09-27T13:00:00+02:00,0.01,mg/l,,,21.93,mg/l,,,,,10.475,mg/l,462,mg/l,0.12,mg/l,,,128,mg/l,78.1,mg/l,269,mg/l,27.1,mg/l,1600,ug/l,1164,ug/l
GAR000000038903,GMW000000038608,1,2005-10-05T13:00:00+02:00,0.02,mg/l,,,5.91,mg/l,,,,,0.62,mg/l,16,mg/l,0.12,mg/l,,,100,mg/l,7.1,mg/l,11.3,mg/l,1.6,mg/l,10200,ug/l,752,ug/l
GAR000000023039,GMW000000038537,1,2005-10-27T13:00:00+02:00,0.01,mg/l,,,3.27,mg/l,,,,,0.783,mg/l,5673,mg/l,332,mg/l,,,1416,mg/l,133,mg/l,1735,mg/l,5.8,mg/l,56600,ug/l,1976,ug/l
GAR000000069188,GMW000000047929,1,2005-11-08T11:00:00+01:00,,,,,0.15,mg/l,,,,,0.1,mg/l,34.31,mg/l,120,mg/l,,,97.75,mg/l,8.91,mg/l,16.52,mg/l,1.41,mg/l,4870,ug/l,200,ug/l
GAR000000052447,GMW000000038677,1,2006-01-01T11:00:00+01:00,0.22,mg/l,0.03,mg/l,0.77,mg/l,,,0.15,mg/l,,,45,mg/l,190,mg/l,400,mg/l,110,mg/l,60,mg/l,7.7,mg/l,26,mg/l,,,200,ug/l
GAR000000000030,GMW000000024101,2,2006-03-02T11:00:00+01:00,0.05,mg/l,0.01,mg/l,6.4,mg/l,,,,,0.05,mg/l,190,mg/l,1,mg/l,470,mg/l,95,mg/l,18,mg/l,150,mg/l,6.5,mg/l,,,780,ug/l
GAR000000011860,GMW000000041804,2,2006-03-21T11:00:00+01:00,0.05,mg/l,0.03,mg/l,3.2,mg/l,,,,,0.34,mg/l,280,mg/l,1,mg/l,700,mg/l,62,mg/l,5.9,mg/l,400,mg/l,1.6,mg/l,,,350,ug/l
GAR000000009097,GMW000000038813,3,2006-03-22T11:00:00+01:00,0.07,mg/l,,,0.24,mg/l,,,,,0.02,mg/l,42.09,mg/l,197.22,mg/l,7.89,mg/l,53.07,mg/l,17.67,mg/l,21.79,mg/l,4,mg/l,10280,ug/l,274,ug/l
GAR000000006876,GMW000000038821,3,2006-04-18T12:00:00+02:00,0.02,mg/l,,,0.24,mg/l,,,,,0.0032,mg/l,14.11,mg/l,47.93,mg/l,,,11.1,mg/l,3.98,mg/l,9.16,mg/l,1.29,mg/l,20,ug/l,234,ug/l
GAR000000036803,GMW000000038874,1,2006-05-17T13:00:00+02:00,0.014,mg/l,,,1.187,mg/l,,,,,0.173,mg/l,11.85,mg/l,2.05,mg/l,212,mg/l,64.674,mg/l,3.469,mg/l,7.336,mg/l,1.076,mg/l,1618,ug/l,259.7,ug/l
GAR000000014226,GMW000000009950,3,2006-05-18T12:00:00+02:00,0.05,mg/l,0.01,mg/l,1.15,mg/l,,,0.09,mg/l,,,118,mg/l,94.7,mg/l,,,51.3,mg/l,8.7,mg/l,21.4,mg/l,2.44,mg/l,19400,ug/l,881,ug/l
GAR000000029491,GMW000000038775,1,2006-05-22T13:00:00+02:00,0.14,mg/l,0.01,mg/l,1.6,mg/l,,,0.05,mg/l,,,33,mg/l,87,mg/l,410,mg/l,140,mg/l,4.4,mg/l,24,mg/l,1,mg/l,,,930,ug/l
GAR000000017101,GMW000000038680,1,2006-07-13T13:00:00+02:00,0.014,mg/l,,,0.242,mg/l,,,,,0.23,mg/l,25.23,mg/l,105.31,mg/l,226,mg/l,94.505,mg/l,7.743,mg/l,19.224,mg/l,1.433,mg/l,14729,ug/l,451.76,ug/l
GAR000000003762,GMW000000050006,2,2006-10-09T12:00:00+02:00,4.09,mg/l,,,0.23,mg/l,,,,,0.02,mg/l,18.62,mg/l,75.35,mg/l,64.01,mg/l,42.6,mg/l,5.39,mg/l,17.08,mg/l,8.24,mg/l,3,ug/l,252,ug/l
GAR000000001980,GMW000000049988,1,2006-10-12T12:00:00+02:00,7.54,mg/l,,,3.42,mg/l,,,,,0.02,mg/l,55.5,mg/l,64.98,mg/l,23.7,mg/l,22.71,mg/l,3.51,mg/l,44.16,mg/l,4.91,mg/l,3,ug/l,691,ug/l
GAR000000023502,GMW000000038682,1,2006-10-16T13:00:00+02:00,0.014,mg/l,,,15.28,mg/l,,,,,0.034,mg/l,485.31,mg/l,46.26,mg/l,54.6,mg/l,26.587,mg/l,22.074,mg/l,216.426,mg/l,5.439,mg/l,34917,ug/l,403.05,ug/l
GAR000000069011,GMW000000049400,3,2006-11-08T11:00:00+01:00,11.2,mg/l,,,0.04,mg/l,,,,,0.09,mg/l,42.8,mg/l,,,,,62,mg/l,4.96,mg/l,19.8,mg/l,1.14,mg/l,,,50,ug/l
GAR000000041624,GMW000000049427,1,2006-11-27T11:00:00+01:00,2.45,mg/l,,,0.33,mg/l,,,,,0.05,mg/l,62.5,mg/l,,,,,27.6,mg/l,5.46,mg/l,23.6,mg/l,14.3,mg/l,920,ug/l,630,ug/l
GAR000000009200,GMW000000017731,2,2007-01-19T11:00:00+01:00,0.01,mg/l,,,0.25,mg/l,,,,,0.04,mg/l,6.56,mg/l,40.34,mg/l,18.63,mg/l,9.42,mg/l,4.87,mg/l,5.48,mg/l,2.08,mg/l,2980,ug/l,97,ug/l
GAR000000036929,GMW000000038623,1,2007-07-12T13:00:00+02:00,1.51,mg/l,,,0.24,mg/l,,,,,0.03,mg/l,4.89,mg/l,8.24,mg/l,5.09,mg/l,2.936,mg/l,1.395,mg/l,3.198,mg/l,0.794,mg/l,2,ug/l,0.8,ug/l
GAR000000015841,GMW000000038885,1,2007-07-25T13:00:00+02:00,52.75,mg/l,,,0.24,mg/l,,,,,0.03,mg/l,25.21,mg/l,65.49,mg/l,183.9,mg/l,148.504,mg/l,13.99,mg/l,17.712,mg/l,3.572,mg/l,2,ug/l,0.8,ug/l
GAR000000000697,GMW000000024100,2,2007-09-01T12:00:00+02:00,0.1,mg/l,0.01,mg/l,0.67,mg/l,,,,,0.15,mg/l,8.7,mg/l,16,mg/l,300,mg/l,89,mg/l,7.6,mg/l,5.2,mg/l,1.3,mg/l,3100,ug/l,520,ug/l
GAR000000000031,GMW000000024101,2,2007-09-01T12:00:00+02:00,0.1,mg/l,0.01,mg/l,7,mg/l,,,,,0.52,mg/l,200,mg/l,1,mg/l,520,mg/l,88,mg/l,16,mg/l,160,mg/l,6.8,mg/l,11000,ug/l,710,ug/l
GAR000000031770,GMW000000038881,1,2007-10-02T13:00:00+02:00,0.01,mg/l,,,20.4,mg/l,,,,,4.868,mg/l,216.97,mg/l,0.12,mg/l,931.47,mg/l,71.761,mg/l,81.54,mg/l,209.089,mg/l,44.986,mg/l,963,ug/l,496.75,ug/l
GAR000000011574,GMW000000038847,3,2007-10-15T12:00:00+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000025987,GMW000000038760,1,2007-10-15T13:00:00+02:00,0.01,mg/l,,,3.34,mg/l,,,,,0.183,mg/l,19.28,mg/l,0.12,mg/l,380.2,mg/l,96.651,mg/l,11.359,mg/l,14.899,mg/l,1.515,mg/l,14079,ug/l,501.93,ug/l
GAR000000020777,GMW000000038833,3,2007-10-23T13:00:00+02:00,0.01,mg/l,,,1.04,mg/l,,,,,0.258,mg/l,71.75,mg/l,68.18,mg/l,309.38,mg/l,113.594,mg/l,10.749,mg/l,58.195,mg/l,1.733,mg/l,18060,ug/l,825.75,ug/l
GAR000000041853,GMW000000049431,1,2007-10-24T12:00:00+02:00,8.6,mg/l,,,1.6,mg/l,,,,,,,97.9,mg/l,,,138.19,mg/l,37.4,mg/l,6.5,mg/l,46.1,mg/l,28.8,mg/l,300,ug/l,600,ug/l
GAR000000002387,GMW000000049985,2,2007-11-13T11:00:00+01:00,18.09,mg/l,,,0.24,mg/l,,,,,0.03,mg/l,30.03,mg/l,57,mg/l,395.76,mg/l,148.77,mg/l,15.05,mg/l,11.87,mg/l,32.32,mg/l,9,ug/l,2302,ug/l
GAR000000006260,GMW000000017693,1,2007-11-27T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000069048,GMW000000049424,1,2007-11-29T11:00:00+01:00,3.42,mg/l,,,0.0099,mg/l,,,,,0.002,mg/l,62.4,mg/l,,,589.36,mg/l,162,mg/l,19,mg/l,62.9,mg/l,0.4,mg/l,129,ug/l,42,ug/l
GAR000000008033,GMW000000017702,1,2007-12-18T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000042952,GMW000000038656,1,2008-01-01T11:00:00+01:00,0.17,mg/l,,,,,,,,,0.05,mg/l,48,mg/l,,,,,,,,,,,,,,,,
GAR000000057862,GMW000000057202,3,2008-01-14T11:00:00+01:00,,,,,,,,,,,,,17286,mg/l,,,,,,,,,,,,,,,,
GAR000000007347,GMW000000017709,1,2008-02-15T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000016251,GMW000000038823,1,2008-05-27T13:00:00+02:00,29.138,mg/l,,,0.241,mg/l,,,,,0.19,mg/l,15.07,mg/l,57.34,mg/l,223.73,mg/l,113.29,mg/l,14.77,mg/l,10.71,mg/l,6.8,mg/l,90,ug/l,312,ug/l
GAR000000037210,GMW000000038529,1,2008-06-02T13:00:00+02:00,0.829,mg/l,,,0.241,mg/l,,,,,0.19,mg/l,16.48,mg/l,60.83,mg/l,28.43,mg/l,20.99,mg/l,4.1,mg/l,12.6,mg/l,13.72,mg/l,480,ug/l,537,ug/l
GAR000000013174,GMW000000009850,3,2008-07-17T12:00:00+02:00,,,0.02,mg/l,0.33,mg/l,,,0.05,mg/l,,,31,mg/l,300,mg/l,,,,,13,mg/l,18.5,mg/l,4.8,mg/l,,,737,ug/l
GAR000000022196,GMW000000038591,1,2008-08-14T13:00:00+02:00,0.014,mg/l,,,0.63,mg/l,,,,,0.26,mg/l,58.53,mg/l,175.7,mg/l,281.25,mg/l,132.46,mg/l,11.04,mg/l,32.3,mg/l,14.69,mg/l,2430,ug/l,182,ug/l
GAR000000000760,GMW000000004093,2,2008-09-16T12:00:00+02:00,0.1,mg/l,0.01,mg/l,0.07,mg/l,,,0.1,mg/l,0.09,mg/l,7.8,mg/l,3.1,mg/l,,,25,mg/l,1.8,mg/l,4.6,mg/l,0.95,mg/l,1500,ug/l,490,ug/l
GAR000000000032,GMW000000024101,2,2008-09-16T12:00:00+02:00,0.1,mg/l,0.01,mg/l,7.2,mg/l,,,0.5,mg/l,0.52,mg/l,190,mg/l,1,mg/l,,,85,mg/l,16,mg/l,150,mg/l,8.4,mg/l,11000,ug/l,650,ug/l
GAR000000068921,GMW000000047811,2,2008-10-01T12:00:00+02:00,46.2,mg/l,,,0.0099,mg/l,,,,,0.03,mg/l,20.4,mg/l,,,34.04,mg/l,53,mg/l,21.6,mg/l,18.4,mg/l,7.1,mg/l,4,ug/l,9,ug/l
GAR000000032759,GMW000000038744,3,2008-10-01T13:00:00+02:00,0.047,mg/l,,,0.389,mg/l,,,,,0.19,mg/l,21.08,mg/l,133.73,mg/l,17.67,mg/l,42.28,mg/l,7.86,mg/l,21.8,mg/l,3.34,mg/l,4360,ug/l,123,ug/l
GAR000000040467,GMW000000038687,3,2008-10-14T13:00:00+02:00,0.02,mg/l,,,0.35,mg/l,,,,,0.31,mg/l,11.35,mg/l,7.69,mg/l,107.49,mg/l,31.16,mg/l,4.26,mg/l,7.37,mg/l,2.15,mg/l,6350,ug/l,202,ug/l
GAR000000027597,GMW000000038530,1,2008-10-29T12:00:00+01:00,0.014,mg/l,,,0.241,mg/l,,,,,0.19,mg/l,66.09,mg/l,57.25,mg/l,291,mg/l,88.22,mg/l,9.8,mg/l,50.42,mg/l,3.48,mg/l,1880,ug/l,493,ug/l
GAR000000002331,GMW000000038611,1,2008-12-15T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAR000000006184,GMW000000017687,4,2009-01-15T11:00:00+01:00,0.01,mg/l,,,0.38,mg/l,,,0.04,mg/l,0.14,mg/l,41.59,mg/l,80.14,mg/l,204.68,mg/l,99.09,mg/l,9.48,mg/l,14.7,mg/l,4.4,mg/l,4130,ug/l,220,ug/l
GAR000000009301,GMW000000017717,2,2009-01-26T11:00:00+01:00,8.42,mg/l,,,0.47,mg/l,,,0.01,mg/l,0.03,mg/l,58.47,mg/l,180.55,mg/l,13,mg/l,35.82,mg/l,20.65,mg/l,34.8,mg/l,6.2,mg/l,29430,ug/l,730,ug/l
GAR000000039954,GMW000000038880,3,2009-03-25T12:00:00+01:00,0.014,mg/l,,,35.537,mg/l,,,,,2.73,mg/l,10781.27,mg/l,77.82,mg/l,2137,mg/l,481.21,mg/l,674.77,mg/l,5641.6,mg/l,138.4,mg/l,2070,ug/l,860,ug/l
GAR000000024033,GMW000000038867,1,2009-04-02T13:00:00+02:00,0.479,mg/l,,,0.241,mg/l,,,,,0.08,mg/l,70.12,mg/l,86.1,mg/l,95,mg/l,40.55,mg/l,9.74,mg/l,48.4,mg/l,18.5,mg/l,20,ug/l,214,ug/l
GAR000000019069,GMW000000038834,1,2009-05-06T13:00:00+02:00,0.014,mg/l,,,0.241,mg/l,,,,,0.22,mg/l,13.3,mg/l,8.29,mg/l,152,mg/l,46.43,mg/l,3.96,mg/l,9,mg/l,2.5,mg/l,7160,ug/l,323,ug/l
GAR000000036202,GMW000000038839,1,2009-06-04T13:00:00+02:00,0.027,mg/l,,,0.241,mg/l,,,,,0.12,mg/l,6.14,mg/l,7.38,mg/l,362,mg/l,99.16,mg/l,13.96,mg/l,4.8,mg/l,2,mg/l,3110,ug/l,41,ug/l
GAR000000032561,GMW000000038910,1,2009-06-17T13:00:00+02:00,36.788,mg/l,,,0.241,mg/l,,,,,0.08,mg/l,74.61,mg/l,129.08,mg/l,15,mg/l,92.14,mg/l,10.75,mg/l,49,mg/l,8,mg/l,20,ug/l,78,ug/l
GAR000000013194,GMW000000038711,3,2009-07-09T12:00:00+02:00,0.3,mg/l,0.08,mg/l,0.02,mg/l,,,0.03,mg/l,0.31,mg/l,51,mg/l,168,mg/l,,,105,mg/l,12.3,mg/l,20.2,mg/l,1.27,mg/l,23600,ug/l,864,ug/l
GAR000000028661,GMW000000038649,1,2009-08-24T13:00:00+02:00,9.075,mg/l,,,0.241,mg/l,,,,,0.08,mg/l,11.49,mg/l,25.08,mg/l,10,mg/l,13.14,mg/l,6.3,mg/l,10.8,mg/l,3.5,mg/l,20,ug/l,775,ug/l
GAR000000014890,GMW000000015157,1,2009-09-11T12:00:00+02:00,0.05,mg/l,,,0.09,mg/l,,,0.08,mg/l,,,78,mg/l,28,mg/l,12,mg/l,12,mg/l,7,mg/l,35,mg/l,2.7,mg/l,1800,ug/l,45,ug/l
