tmv_locatie,ronde,periode_bemonstering,lab_no3n_mgNl,lab_no3_mgl,lab_no3_below_detection,lab_ph,lab_ec_uScm,field_no3n_min_mgNl,field_no3n_mean_mgNl,field_no3n_max_mgNl
229,5,2009-2011,0.275,1.217,0,6.6,293.0,1.04,2.3,5.17
230,5,2009-2011,10.502,46.494,0,6.4,511.0,,,
231,5,2009-2011,12.108,53.604,0,4.4,754.0,2.51,3.2,7.55
232,5,2009-2011,29.386,130.097,0,4.6,626.0,,,
233,5,2009-2011,1.745,7.725,0,4.2,178.0,1.41,8.8,27.82
234,5,2009-2011,0.355,1.572,0,6.1,165.0,,,
235,5,2009-2011,23.245,102.91,0,4.1,372.0,1.36,4.9,19.35
301,5,2009-2011,1.881,8.328,0,4.6,76.0,,,
303,5,2009-2011,0.422,1.868,0,4.7,137.0,1.63,9.7,23.49
304,5,2009-2011,4.024,17.815,0,5.0,64.0,,,
305,5,2009-2011,1.07,4.737,0,4.9,48.0,0.98,1.2,2.91
306,5,2009-2011,4.886,21.631,0,4.2,145.0,,,
308,5,2009-2011,3.556,15.743,0,4.1,154.0,0.92,11.7,28.34
310,5,2009-2011,0.813,3.599,0,4.3,77.0,,,
311,5,2009-2011,5.119,22.663,0,4.6,258.0,1.21,6.9,16.37
312,5,2009-2011,0.289,1.279,0,5.6,61.0,1.06,1.5,1.9
313,5,2009-2011,1.414,6.26,0,3.9,114.0,1.07,2.3,4.47
314,5,2009-2011,0.287,1.271,0,5.4,135.0,0.95,1.5,3.71
316,5,2009-2011,0.07,0.31,1,3.9,206.0,6.6,1.4,2.84
317,5,2009-2011,0.07,0.31,1,4.4,371.0,3.98,1.1,1.1
318,5,2009-2011,0.07,0.31,1,6.1,342.0,1.72,1.1,1.26
320,5,2009-2011,2.199,9.735,0,4.5,190.0,3.28,3.0,13.25
323,5,2009-2011,13.693,60.621,0,5.1,634.0,1.04,13.8,87.61
324,5,2009-2011,15.459,68.44,0,4.0,495.0,1.28,18.2,50.75
325,5,2009-2011,7.104,31.451,0,6.4,550.0,0.93,7.5,27.21
326,5,2009-2011,5.336,23.623,0,4.5,182.0,1.32,6.6,12.33
327,5,2009-2011,4.087,18.094,0,4.1,113.0,1.0,4.7,10.95
328,5,2009-2011,4.857,21.503,0,3.9,335.0,1.5,5.2,8.62
329,5,2009-2011,3.195,14.145,0,4.1,163.0,1.4,3.6,6.3
330,5,2009-2011,16.046,71.038,0,4.8,318.0,1.5,16.7,48.71
331,5,2009-2011,7.12,31.521,0,4.1,207.0,1.2,7.9,29.31
333,5,2009-2011,9.782,43.307,0,4.2,422.0,2.9,10.8,31.13
334,5,2009-2011,5.79,25.633,0,4.3,86.0,1.6,8.7,26.07
336,5,2009-2011,7.842,34.718,0,5.5,244.0,2.4,8.6,33.12
337,5,2009-2011,0.817,3.617,0,4.5,89.0,1.6,2.2,10.67
338,5,2009-2011,0.336,1.488,0,4.5,67.0,1.7,1.2,2.11
339,5,2009-2011,16.138,71.446,0,4.3,396.0,1.2,19.0,31.79
340,5,2009-2011,1.33,5.888,0,4.6,61.0,2.6,2.3,8.21
342,5,2009-2011,2.836,12.555,0,5.4,224.0,4.3,3.4,8.21
