FID,Rapportagejaar,WaterlichaamCode,KRWkwaliteitselementCode,KRWkwaliteitselementOmschrijving,Classificatie,naam,lengteKM,oppervlakteKM2,stroomgebieddistrictNaam,oppervlaktewaterCategorie,oppervlaktewaterWatertypeCode,oppervlaktewaterWatertypeOmschrijving,waterbeheerderCode,waterbeheerderNaam
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_ECKELTBK.Nanorg,2023,NL60_ECKELTBK,Nanorg,DIN,Niet van toepassing,Eckeltsebeek,9.37,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_EVERLOBK.Ptot,2023,NL60_EVERLOBK,Ptot,Fosfor totaal,Goed,Everlose Beek,16.26,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_EVERLOBK.Ntot,2023,NL60_EVERLOBK,Ntot,Stikstof totaal,Matig,Everlose Beek,16.26,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_EVERLOBK.Nanorg,2023,NL60_EVERLOBK,Nanorg,DIN,Niet van toepassing,Everlose Beek,16.26,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_EYSERBK.Nanorg,2023,NL60_EYSERBK,Nanorg,DIN,Niet van toepassing,Eyserbeek,9.56,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_EYSERBK.Ntot,2023,NL60_EYSERBK,Ntot,Stikstof totaal,Ontoereikend,Eyserbeek,9.56,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_EYSERBK.Ptot,2023,NL60_EYSERBK,Ptot,Fosfor totaal,Matig,Eyserbeek,9.56,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GELDEKAN.Ntot,2023,NL60_GELDEKAN,Ntot,Stikstof totaal,Matig,Gelderns Nierskanaal,3.76,,Maas,Rivier,R14,Snelstromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GELDEKAN.Ptot,2023,NL60_GELDEKAN,Ptot,Fosfor totaal,Matig,Gelderns Nierskanaal,3.76,,Maas,Rivier,R14,Snelstromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GELDEKAN.Nanorg,2023,NL60_GELDEKAN,Nanorg,DIN,Niet van toepassing,Gelderns Nierskanaal,3.76,,Maas,Rivier,R14,Snelstromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GELEENBK.Ntot,2023,NL60_GELEENBK,Ntot,Stikstof totaal,Matig,Geleenbeek,41.92,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GELEENBK.Nanorg,2023,NL60_GELEENBK,Nanorg,DIN,Niet van toepassing,Geleenbeek,41.92,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GELEENBK.Ptot,2023,NL60_GELEENBK,Ptot,Fosfor totaal,Ontoereikend,Geleenbeek,41.92,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GEUL.Ntot,2023,NL60_GEUL,Ntot,Stikstof totaal,Ontoereikend,Geul,38.03,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GEUL.Ptot,2023,NL60_GEUL,Ptot,Fosfor totaal,Matig,Geul,38.03,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GEUL.Nanorg,2023,NL60_GEUL,Nanorg,DIN,Niet van toepassing,Geul,38.03,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GRMOLEBK.Ntot,2023,NL60_GRMOLEBK,Ntot,Stikstof totaal,Matig,Groote Molenbeek,42.55,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GRMOLEBK.Nanorg,2023,NL60_GRMOLEBK,Nanorg,DIN,Niet van toepassing,Groote Molenbeek,42.55,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GRMOLEBK.Ptot,2023,NL60_GRMOLEBK,Ptot,Fosfor totaal,Goed,Groote Molenbeek,42.55,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GULP.Nanorg,2023,NL60_GULP,Nanorg,DIN,Niet van toepassing,Gulp,10.15,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GULP.Ntot,2023,NL60_GULP,Ntot,Stikstof totaal,Ontoereikend,Gulp,10.15,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_GULP.Ptot,2023,NL60_GULP,Ptot,Fosfor totaal,Matig,Gulp,10.15,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_HAELUFFE.Ptot,2023,NL60_HAELUFFE,Ptot,Fosfor totaal,Ontoereikend,Haelense Beek en Uffelsebeek,22.88,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_HAELUFFE.Ntot,2023,NL60_HAELUFFE,Ntot,Stikstof totaal,Matig,Haelense Beek en Uffelsebeek,22.88,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_HAELUFFE.Nanorg,2023,NL60_HAELUFFE,Nanorg,DIN,Niet van toepassing,Haelense Beek en Uffelsebeek,22.88,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_ITTETHOR.Ptot,2023,NL60_ITTETHOR,Ptot,Fosfor totaal,Ontoereikend,Itterbeek en Thornerbeek,12.82,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_ITTETHOR.Ntot,2023,NL60_ITTETHOR,Ntot,Stikstof totaal,Matig,Itterbeek en Thornerbeek,12.82,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_ITTETHOR.Nanorg,2023,NL60_ITTETHOR,Nanorg,DIN,Niet van toepassing,Itterbeek en Thornerbeek,12.82,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_JEKER.Ptot,2023,NL60_JEKER,Ptot,Fosfor totaal,Slecht,Jeker,5.11,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_JEKER.Nanorg,2023,NL60_JEKER,Nanorg,DIN,Niet van toepassing,Jeker,5.11,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_JEKER.Ntot,2023,NL60_JEKER,Ntot,Stikstof totaal,Ontoereikend,Jeker,5.11,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_KEUTELBK.Nanorg,2023,NL60_KEUTELBK,Nanorg,DIN,Niet van toepassing,Keutelbeek,7.56,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_KEUTELBK.Ptot,2023,NL60_KEUTELBK,Ptot,Fosfor totaal,Ontoereikend,Keutelbeek,7.56,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_KEUTELBK.Ntot,2023,NL60_KEUTELBK,Ntot,Stikstof totaal,Matig,Keutelbeek,7.56,,Maas,Rivier,R17,Snelstromende bovenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_KWISTBK.Nanorg,2023,NL60_KWISTBK,Nanorg,DIN,Niet van toepassing,Kwistbeek,7.75,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_KWISTBK.Ptot,2023,NL60_KWISTBK,Ptot,Fosfor totaal,Goed,Kwistbeek,7.75,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_KWISTBK.Ntot,2023,NL60_KWISTBK,Ntot,Stikstof totaal,Matig,Kwistbeek,7.75,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_LINGSFBK.Ptot,2023,NL60_LINGSFBK,Ptot,Fosfor totaal,Goed,Lingsforterbeek,6.09,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_LINGSFBK.Ntot,2023,NL60_LINGSFBK,Ntot,Stikstof totaal,Slecht,Lingsforterbeek,6.09,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_LINGSFBK.Nanorg,2023,NL60_LINGSFBK,Nanorg,DIN,Niet van toepassing,Lingsforterbeek,6.09,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8P_1.Ptot,2023,NL38_8P_1,Ptot,Fosfor totaal,Ontoereikend,Oploosche Molenbeek,9.67,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8P_1.Ntot,2023,NL38_8P_1,Ntot,Stikstof totaal,Matig,Oploosche Molenbeek,9.67,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8P_1.Nanorg,2023,NL38_8P_1,Nanorg,DIN,Niet van toepassing,Oploosche Molenbeek,9.67,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8P_2.Nanorg,2023,NL38_8P_2,Nanorg,DIN,Niet van toepassing,Oeffeltsche Raam ea,26.3,,Maas,Rivier,R20,Moerasbeek,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8P_2.Ntot,2023,NL38_8P_2,Ntot,Stikstof totaal,Matig,Oeffeltsche Raam ea,26.3,,Maas,Rivier,R20,Moerasbeek,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8P_2.Ptot,2023,NL38_8P_2,Ptot,Fosfor totaal,Goed,Oeffeltsche Raam ea,26.3,,Maas,Rivier,R20,Moerasbeek,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8Q.Nanorg,2023,NL38_8Q,Nanorg,DIN,Niet van toepassing,St Jansbeek,8.54,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8Q.Ptot,2023,NL38_8Q,Ptot,Fosfor totaal,Goed,St Jansbeek,8.54,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8Q.Ntot,2023,NL38_8Q,Ntot,Stikstof totaal,Slecht,St Jansbeek,8.54,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8S_1.Ntot,2023,NL38_8S_1,Ntot,Stikstof totaal,Matig,Ledeackerse Beek,7.59,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8S_1.Ptot,2023,NL38_8S_1,Ptot,Fosfor totaal,Matig,Ledeackerse Beek,7.59,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8S_1.Nanorg,2023,NL38_8S_1,Nanorg,DIN,Niet van toepassing,Ledeackerse Beek,7.59,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8S_2.Ntot,2023,NL38_8S_2,Ntot,Stikstof totaal,Matig,St Anthonisloop,,0.01571,Maas,Meer,M1a,Zoete gebufferde sloten,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8S_2.Ptot,2023,NL38_8S_2,Ptot,Fosfor totaal,Goed,St Anthonisloop,,0.01571,Maas,Meer,M1a,Zoete gebufferde sloten,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8S_2.Nanorg,2023,NL38_8S_2,Nanorg,DIN,Niet van toepassing,St Anthonisloop,,0.01571,Maas,Meer,M1a,Zoete gebufferde sloten,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8T.Ptot,2023,NL38_8T,Ptot,Fosfor totaal,Matig,Tovensche Beek,5.04,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8T.Nanorg,2023,NL38_8T,Nanorg,DIN,Niet van toepassing,Tovensche Beek,5.04,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8T.Ntot,2023,NL38_8T,Ntot,Stikstof totaal,Ontoereikend,Tovensche Beek,5.04,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8V.Ptot,2023,NL38_8V,Ptot,Fosfor totaal,Matig,Lactariabeek,8.2,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8V.Nanorg,2023,NL38_8V,Nanorg,DIN,Niet van toepassing,Lactariabeek,8.2,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_8V.Ntot,2023,NL38_8V,Ntot,Stikstof totaal,Matig,Lactariabeek,8.2,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_BRA_02_3E.Ptot,2023,NL38_BRA_02_3E,Ptot,Fosfor totaal,Slecht,"Aa, Eeuwselse Loop en Kievitsloop",15.17,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_BRA_02_3E.Ntot,2023,NL38_BRA_02_3E,Ntot,Stikstof totaal,Matig,"Aa, Eeuwselse Loop en Kievitsloop",15.17,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL38_BRA_02_3E.Nanorg,2023,NL38_BRA_02_3E,Nanorg,DIN,Niet van toepassing,"Aa, Eeuwselse Loop en Kievitsloop",15.17,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,38,Waterschap Aa en Maas
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_41_3.Ptot,2023,NL40_41_3,Ptot,Fosfor totaal,Goed,Zuiderdiepboezem,,1.17145,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_41_3.Ntot,2023,NL40_41_3,Ntot,Stikstof totaal,Goed,Zuiderdiepboezem,,1.17145,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_41_3.Nanorg,2023,NL40_41_3,Nanorg,DIN,Niet van toepassing,Zuiderdiepboezem,,1.17145,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_42_3.Ntot,2023,NL40_42_3,Ntot,Stikstof totaal,Goed,Havenkanaal Goedereede,,0.05158,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_42_3.Ptot,2023,NL40_42_3,Ptot,Fosfor totaal,Goed,Havenkanaal Goedereede,,0.05158,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_42_3.Nanorg,2023,NL40_42_3,Nanorg,DIN,Niet van toepassing,Havenkanaal Goedereede,,0.05158,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_43_3.Ptot,2023,NL40_43_3,Ptot,Fosfor totaal,Matig,Haven van Dirksland,,0.07988,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_43_3.Nanorg,2023,NL40_43_3,Nanorg,DIN,Niet van toepassing,Haven van Dirksland,,0.07988,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_43_3.Ntot,2023,NL40_43_3,Ntot,Stikstof totaal,Matig,Haven van Dirksland,,0.07988,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_44_3.Ptot,2023,NL40_44_3,Ptot,Fosfor totaal,Matig,Haven van Stellendam,,0.03214,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_44_3.Nanorg,2023,NL40_44_3,Nanorg,DIN,Niet van toepassing,Haven van Stellendam,,0.03214,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_44_3.Ntot,2023,NL40_44_3,Ntot,Stikstof totaal,Matig,Haven van Stellendam,,0.03214,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_45_3.Ptot,2023,NL40_45_3,Ptot,Fosfor totaal,Matig,Boezem van Oude-Tonge,,0.03919,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_45_3.Ntot,2023,NL40_45_3,Ntot,Stikstof totaal,Goed,Boezem van Oude-Tonge,,0.03919,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_45_3.Nanorg,2023,NL40_45_3,Nanorg,DIN,Niet van toepassing,Boezem van Oude-Tonge,,0.03919,Maas,Meer,M30,Zwak brakke wateren,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_46_3.Nanorg,2023,NL40_46_3,Nanorg,DIN,Niet van toepassing,Afwatering Den Bommel,,0.05806,Maas,Meer,M3,Gebufferde (regionale) kanalen,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_46_3.Ntot,2023,NL40_46_3,Ntot,Stikstof totaal,Goed,Afwatering Den Bommel,,0.05806,Maas,Meer,M3,Gebufferde (regionale) kanalen,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL40_46_3.Ptot,2023,NL40_46_3,Ptot,Fosfor totaal,Goed,Afwatering Den Bommel,,0.05806,Maas,Meer,M3,Gebufferde (regionale) kanalen,40,Waterschap Hollandse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_WORM.Ntot,2023,NL60_WORM,Ntot,Stikstof totaal,Matig,Worm,6.54,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_WORM.Nanorg,2023,NL60_WORM,Nanorg,DIN,Niet van toepassing,Worm,6.54,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_WORM.Ptot,2023,NL60_WORM,Ptot,Fosfor totaal,Matig,Worm,6.54,,Maas,Rivier,R18,Snelstromende middenloop/benedenloop op kalkhoudende bodem,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL99_LOOBMOLE.Ntot,2023,NL99_LOOBMOLE,Ntot,Stikstof totaal,Matig,Loobeek en Molenbeek,18.56,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL99_LOOBMOLE.Nanorg,2023,NL99_LOOBMOLE,Nanorg,DIN,Niet van toepassing,Loobeek en Molenbeek,18.56,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL99_LOOBMOLE.Ptot,2023,NL99_LOOBMOLE,Ptot,Fosfor totaal,Matig,Loobeek en Molenbeek,18.56,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_TUNGELBK.Ntot,2023,NL60_TUNGELBK,Ntot,Stikstof totaal,Goed,Tungelroysebeek,53.5,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_TUNGELBK.Nanorg,2023,NL60_TUNGELBK,Nanorg,DIN,Niet van toepassing,Tungelroysebeek,53.5,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_TUNGELBK.Ptot,2023,NL60_TUNGELBK,Ptot,Fosfor totaal,Matig,Tungelroysebeek,53.5,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_VLOO_BEN.Ptot,2023,NL60_VLOO_BEN,Ptot,Fosfor totaal,Goed,Vlootbeek Benedenloop,7.44,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_VLOO_BEN.Nanorg,2023,NL60_VLOO_BEN,Nanorg,DIN,Niet van toepassing,Vlootbeek Benedenloop,7.44,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_VLOO_BEN.Ntot,2023,NL60_VLOO_BEN,Ntot,Stikstof totaal,Slecht,Vlootbeek Benedenloop,7.44,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_VLOO_BOV.Ptot,2023,NL60_VLOO_BOV,Ptot,Fosfor totaal,Goed,Vlootbeek Bovenloop,11.26,,Maas,Rivier,R4b,Permanente langzaam stromende heuvelland bovenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_VLOO_BOV.Ntot,2023,NL60_VLOO_BOV,Ntot,Stikstof totaal,Ontoereikend,Vlootbeek Bovenloop,11.26,,Maas,Rivier,R4b,Permanente langzaam stromende heuvelland bovenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL60_VLOO_BOV.Nanorg,2023,NL60_VLOO_BOV,Nanorg,DIN,Niet van toepassing,Vlootbeek Bovenloop,11.26,,Maas,Rivier,R4b,Permanente langzaam stromende heuvelland bovenloop op zand,60,Waterschap Limburg
KRWoppervlaktewaterlichamen_toestand_ecologie.NL02L9b.Ntot,2023,NL02L9b,Ntot,Stikstof totaal,Goed,Friese boezem - grote diepe kanalen,,9.13916,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,02,Wetterskip Fryslan
KRWoppervlaktewaterlichamen_toestand_ecologie.NL02L9b.Nanorg,2023,NL02L9b,Nanorg,DIN,Niet van toepassing,Friese boezem - grote diepe kanalen,,9.13916,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,02,Wetterskip Fryslan
KRWoppervlaktewaterlichamen_toestand_ecologie.NL02L9b.Ptot,2023,NL02L9b,Ptot,Fosfor totaal,Goed,Friese boezem - grote diepe kanalen,,9.13916,Rijn,Meer,M7b,Grote diepe kanalen met scheepvaart,02,Wetterskip Fryslan
KRWoppervlaktewaterlichamen_toestand_ecologie.NL02L9c.Ntot,2023,NL02L9c,Ntot,Stikstof totaal,Goed,Friese boezem - regionale kanalen met scheepvaart,,5.64874,Rijn,Meer,M3,Gebufferde (regionale) kanalen,02,Wetterskip Fryslan
KRWoppervlaktewaterlichamen_toestand_ecologie.NL02L9c.Nanorg,2023,NL02L9c,Nanorg,DIN,Niet van toepassing,Friese boezem - regionale kanalen met scheepvaart,,5.64874,Rijn,Meer,M3,Gebufferde (regionale) kanalen,02,Wetterskip Fryslan
