FID,Rapportagejaar,WaterlichaamCode,KRWkwaliteitselementCode,KRWkwaliteitselementOmschrijving,Classificatie,naam,lengteKM,oppervlakteKM2,stroomgebieddistrictNaam,oppervlaktewaterCategorie,oppervlaktewaterWatertypeCode,oppervlaktewaterWatertypeOmschrijving,waterbeheerderCode,waterbeheerderNaam
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_35.Ptot,2020,NL25_35,Ptot,Fosfor totaal,Ontoereikend,Donge,29.87,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_47.Ntot,2020,NL25_47,Ntot,Stikstof totaal,Ontoereikend,Molenkreek complex,,0.14,Maas,Meer,M30,Zwak brakke wateren,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_47.Nanorg,2020,NL25_47,Nanorg,DIN,Niet van toepassing,Molenkreek complex,,0.14,Maas,Meer,M30,Zwak brakke wateren,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_47.Ptot,2020,NL25_47,Ptot,Fosfor totaal,Ontoereikend,Molenkreek complex,,0.14,Maas,Meer,M30,Zwak brakke wateren,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_48.Ntot,2020,NL25_48,Ntot,Stikstof totaal,Ontoereikend,Cruijslandse Kreken,,0.28603,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_48.Ptot,2020,NL25_48,Ptot,Fosfor totaal,Goed,Cruijslandse Kreken,,0.28603,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_48.Nanorg,2020,NL25_48,Nanorg,DIN,Niet van toepassing,Cruijslandse Kreken,,0.28603,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_49.Ntot,2020,NL25_49,Ntot,Stikstof totaal,Goed,Oude Maasje,8.45,,Maas,Rivier,R8,Zoet getijdenwater (uitlopers rivier) op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_49.Ptot,2020,NL25_49,Ptot,Fosfor totaal,Goed,Oude Maasje,8.45,,Maas,Rivier,R8,Zoet getijdenwater (uitlopers rivier) op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_49.Nanorg,2020,NL25_49,Nanorg,DIN,Niet van toepassing,Oude Maasje,8.45,,Maas,Rivier,R8,Zoet getijdenwater (uitlopers rivier) op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33KW_2.Nanorg,2020,NL33KW_2,Nanorg,DIN,Niet van toepassing,Kanalen Westerwolde,0,0.32,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33KW_2.Ptot,2020,NL33KW_2,Ptot,Fosfor totaal,Goed,Kanalen Westerwolde,0,0.32,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33KW_2.Ntot,2020,NL33KW_2,Ntot,Stikstof totaal,Goed,Kanalen Westerwolde,0,0.32,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33MP.Ntot,2020,NL33MP,Ntot,Stikstof totaal,Goed,Mussel Aa / Pagediep,24.49,,Eems,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33MP.Nanorg,2020,NL33MP,Nanorg,DIN,Niet van toepassing,Mussel Aa / Pagediep,24.49,,Eems,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33MP.Ptot,2020,NL33MP,Ptot,Fosfor totaal,Goed,Mussel Aa / Pagediep,24.49,,Eems,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33NW_2.Ptot,2020,NL33NW_2,Ptot,Fosfor totaal,Matig,Noord-Willemskanaal,0,0.13,Eems,Meer,M7b,Grote diepe kanalen met scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33NW_2.Ntot,2020,NL33NW_2,Ntot,Stikstof totaal,Goed,Noord-Willemskanaal,0,0.13,Eems,Meer,M7b,Grote diepe kanalen met scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33NW_2.Nanorg,2020,NL33NW_2,Nanorg,DIN,Niet van toepassing,Noord-Willemskanaal,0,0.13,Eems,Meer,M7b,Grote diepe kanalen met scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33OA_2.Nanorg,2020,NL33OA_2,Nanorg,DIN,Niet van toepassing,Kanalen Oldambt,0,0.17,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33OA_2.Ptot,2020,NL33OA_2,Ptot,Fosfor totaal,Goed,Kanalen Oldambt,0,0.17,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33OA_2.Ntot,2020,NL33OA_2,Ntot,Stikstof totaal,Goed,Kanalen Oldambt,0,0.17,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33OM.Ptot,2020,NL33OM,Ptot,Fosfor totaal,Goed,Oldambtmeer,0,6.88,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33OM.Nanorg,2020,NL33OM,Nanorg,DIN,Niet van toepassing,Oldambtmeer,0,6.88,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33OM.Ntot,2020,NL33OM,Ntot,Stikstof totaal,Goed,Oldambtmeer,0,6.88,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33SM.Nanorg,2020,NL33SM,Nanorg,DIN,Niet van toepassing,Schildmeer,0,3.02,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33SM.Ntot,2020,NL33SM,Ntot,Stikstof totaal,Slecht,Schildmeer,0,3.02,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33SM.Ptot,2020,NL33SM,Ptot,Fosfor totaal,Goed,Schildmeer,0,3.02,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33WN.Nanorg,2020,NL33WN,Nanorg,DIN,Niet van toepassing,Westerwoldse Aa Noord,12.31,,Eems,Rivier,R7,Langzaam stromende rivier/nevengeul op zand/klei,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33WN.Ptot,2020,NL33WN,Ptot,Fosfor totaal,Goed,Westerwoldse Aa Noord,12.31,,Eems,Rivier,R7,Langzaam stromende rivier/nevengeul op zand/klei,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33WN.Ntot,2020,NL33WN,Ntot,Stikstof totaal,Goed,Westerwoldse Aa Noord,12.31,,Eems,Rivier,R7,Langzaam stromende rivier/nevengeul op zand/klei,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33WZ.Ntot,2020,NL33WZ,Ntot,Stikstof totaal,Goed,Westerwoldse Aa Zuid / Ruiten Aa / Runde,82.23,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33WZ.Nanorg,2020,NL33WZ,Nanorg,DIN,Niet van toepassing,Westerwoldse Aa Zuid / Ruiten Aa / Runde,82.23,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33WZ.Ptot,2020,NL33WZ,Ptot,Fosfor totaal,Goed,Westerwoldse Aa Zuid / Ruiten Aa / Runde,82.23,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33ZM.Nanorg,2020,NL33ZM,Nanorg,DIN,Niet van toepassing,Zuidlaardermeer,0,6.14,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33ZM.Ntot,2020,NL33ZM,Ntot,Stikstof totaal,Matig,Zuidlaardermeer,0,6.14,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
